symbol,date,positive_pct,neutral_pct,negative_pct,outlook
AAPL,2025-08-13,60.0,25.0,15.0,positive
ABBV,2025-08-13,50.0,50.0,0.0,neutral
ABT,2025-08-13,0.0,100.0,0.0,neutral
AMD,2025-08-13,40.0,35.0,25.0,positive
AVGO,2025-08-13,55.0,35.0,10.0,positive
AXP,2025-08-13,40.0,35.0,25.0,neutral
AZN,2025-08-13,100.0,0.0,0.0,positive
BABA,2025-08-13,0.0,0.0,100.0,negative
BAC,2025-08-13,33.33,33.33,33.33,neutral
BX,2025-08-13,50.0,50.0,0.0,neutral
COST,2025-08-13,20.0,60.0,20.0,negative
CRM,2025-08-13,40.0,35.0,25.0,positive
CVX,2025-08-13,0.0,0.0,0.0,positive
DIS,2025-08-13,56.0,34.0,10.0,positive
GE,2025-08-13,0.0,50.0,50.0,neutral
GS,2025-08-13,40.0,40.0,20.0,neutral
HD,2025-08-13,100.0,0.0,0.0,positive
HSBC,2025-08-13,33.33,33.33,33.33,neutral
IBM,2025-08-13,100.0,0.0,0.0,positive
INTU,2025-08-13,100.0,0.0,0.0,positive
JNJ,2025-08-13,83.33,16.67,0.0,positive
JPM,2025-08-13,75.0,25.0,0.0,positive
KO,2025-08-13,50.0,50.0,0.0,neutral
LIN,2025-08-13,100.0,0.0,0.0,positive
LLY,2025-08-13,0.0,0.0,100.0,negative
MA,2025-08-13,33.33,66.67,0.0,neutral
META,2025-08-13,50.0,30.0,20.0,positive
MRK,2025-08-13,65.0,25.0,10.0,positive
MS,2025-08-13,33.33,33.33,33.33,neutral
NVDA,2025-08-13,55.0,30.0,15.0,positive
NVS,2025-08-13,100.0,0.0,0.0,positive
NVO,2025-08-13,40.0,35.0,25.0,neutral
PFE,2025-08-13,100.0,0.0,0.0,positive
PG,2025-08-13,100.0,0.0,0.0,positive
PLTR,2025-08-13,85.0,15.0,10.0,positive
PM,2025-08-13,100.0,0.0,0.0,positive
RTX,2025-08-13,33.33,33.33,33.33,neutral
SAP,2025-08-13,0.0,100.0,0.0,neutral
SHEL,2025-08-13,50.0,50.0,0.0,neutral
T,2025-08-13,75.0,25.0,0.0,positive
TM,2025-08-13,100.0,0.0,0.0,positive
TMUS,2025-08-13,0.0,100.0,0.0,neutral
TSLA,2025-08-13,75.0,15.0,10.0,positive
TSM,2025-08-13,40.0,60.0,0.0,neutral
UNH,2025-08-13,0.0,100.0,0.0,neutral
V,2025-08-13,33.33,33.33,33.33,neutral
WFC,2025-08-13,50.0,50.0,0.0,neutral
WMT,2025-08-13,50.0,40.0,10.0,positive
GLD,2025-08-13,100.0,0.0,0.0,positive
IBIT,2025-08-13,50.0,50.0,0.0,neutral
TLT,2025-08-13,0.0,50.0,50.0,neutral
HYG,2025-08-13,0.0,100.0,0.0,neutral
FXY,2025-08-13,0.0,0.0,0.0,neutral
