datetime,headline,url,sentiment
Aug-15-25 Today 10:34AM,Why would Trump and Intel want to work together: Opening Bid top takeaway,https://finance.yahoo.com/news/why-would-trump-and-intel-want-to-work-together-opening-bid-top-takeaway-143409334.html,Neutral
2025-08-15 10:29:00,Trump Says Tariff Rate on Semiconductors Could Reach 300%. Nvidia and AMD Stocks Fall.,https://finance.yahoo.com/m/b679bc58-8e47-301a-a02f-a9a04f93cf32/trump-says-tariff-rate-on.html,Negative
2025-08-15 10:20:00,The Buffett effect: About 190 Dow points.,https://www.marketwatch.com/livecoverage/stock-market-today-dow-set-for-300-point-rise-as-s-p-500-eyes-record-ahead-of-retail-sales/card/the-buffett-effect-about-190-dow-points--0c49J4UnOJ5IJAxKuIv0?mod=mw_FV,Neutral
2025-08-15 10:18:00,Buffett's Berkshire Hathaway sold Apple shares. Should you?,https://finance.yahoo.com/video/buffetts-berkshire-hathaway-sold-apple-141838562.html,Neutral
2025-08-15 09:59:00,Trump Says Tariff Rate on Semiconductors Could Reach 300%,https://www.barrons.com/articles/trump-tariffs-semiconductors-9b62f5ca?mod=bar_FV,Neutral
2025-08-15 09:51:00,"These Stocks Are Moving the Most Today: UnitedHealth, Applied Materials, Intel, Quantum Computing, Opendoor, and More",https://finance.yahoo.com/m/3907aff6-0a62-3ef6-be04-be7fab6e6aed/these-stocks-are-moving-the.html,Neutral
2025-08-15 09:36:00,Applied Materials Falls Most in Five Years Amid China Woes,https://finance.yahoo.com/news/applied-materials-tumbles-china-woes-103649551.html,Negative
2025-08-15 09:35:00,"Stocks to Watch Friday: UnitedHealth, Berkshire, Intel",https://finance.yahoo.com/m/9389d07d-2f6c-3cea-a0c8-86224a10362b/stocks-to-watch-friday%3A.html,Neutral
2025-08-15 09:29:00,Trump says he will set tariffs on steel and semiconductor chips in coming weeks,https://finance.yahoo.com/news/trump-says-set-tariffs-steel-132942467.html,Neutral
2025-08-15 08:59:00,"Trump Says Semiconductor Tariffs Coming Soon, Could Reach 300%",https://finance.yahoo.com/news/trump-says-semiconductor-tariffs-coming-125909996.html,Neutral
2025-08-15 08:57:00,"Morgan Stanley turns more bullish on Apple, sees iPhone build boost",https://finance.yahoo.com/news/morgan-stanley-turns-more-bullish-125751352.html,Positive
2025-08-15 08:52:00,Intel Stock Jumps on Report U.S. Government Could Take a Stake in the Company,https://www.barrons.com/articles/intel-stock-trump-stake-189f3478?mod=bar_FV,Positive
2025-08-15 08:30:00,ProShares Launches First ETF to Target 2x Daily Returns of Nasdaq-100 Top 30 Index,https://finance.yahoo.com/news/proshares-launches-first-etf-target-123000712.html,Neutral
2025-08-15 08:20:00,Berkshire Hathway goes big on United Healthcare,https://finance.yahoo.com/video/berkshire-hathway-goes-big-united-122000513.html,Neutral
2025-08-15 08:15:00,2 Dividend Stocks to Buy and Hold,https://finviz.com/news/141762/2-dividend-stocks-to-buy-and-hold,Positive
2025-08-15 08:07:00,Applied Materials Posted Record Q3 Earnings -- Here's Why the Stock Tanked,https://finance.yahoo.com/news/applied-materials-posted-record-q3-120704564.html,Positive
2025-08-15 07:37:00,"Warren Buffett Bets On Nucor, UnitedHealth, Housing; Apple Stake Pared",https://finance.yahoo.com/m/d3f6118e-ce89-383f-88e5-ea62e7357f3b/warren-buffett-bets-on-nucor%2C.html,Neutral
2025-08-15 07:28:00,"T1 Energy Strikes Corning Partnership, Targets 6,000 US Jobs In Solar Push",https://finance.yahoo.com/news/t1-energy-strikes-corning-partnership-112806907.html,Neutral
2025-08-15 07:00:00,"These Were the 5 Biggest Companies in 2019, and Here Are the 5 Biggest Companies Now",https://finviz.com/news/141703/these-were-the-5-biggest-companies-in-2019-and-here-are-the-5-biggest-companies-now,Neutral
2025-08-15 05:55:00,3 Things Apple Investors Should Know Following a Recent Trump Announcement,https://finviz.com/news/141658/3-things-apple-investors-should-know-following-a-recent-trump-announcement,Neutral
2025-08-15 05:46:00,"Global equity fund inflows at six-week high on soft US inflation, tariff truce",https://finance.yahoo.com/news/global-equity-fund-inflows-six-094626106.html,Negative
2025-08-15 05:12:00,"Taiwan raises 2025 GDP growth forecast, cautious about 2026 outlook on US tariffs",https://finance.yahoo.com/news/taiwan-raises-2025-gdp-growth-091247191.html,Negative
