datetime,headline,url
Aug-13-25 Today 06:33PM,"Nvidia and AMD get 'thanks, but no thanks' from China",https://finance.yahoo.com/m/f1a6ad30-4c94-3010-9870-d5073e49d4a1/nvidia-and-amd-get-%27thanks%2C.html
2025-08-13 17:02:00,"Tech, Media & Telecom Roundup: Market Talk",https://finance.yahoo.com/m/99325738-ae96-3720-a2fc-8c0e7307f68e/tech%2C-media-%26-telecom.html
2025-08-13 17:02:00,Intel's White House Reset: From Political Storm to a Clearer Sky,https://finviz.com/news/137506/intels-white-house-reset-from-political-storm-to-a-clearer-sky
2025-08-13 16:05:00,Nvidia Faces Suspicion As It Reenters China AI Chip Market,https://finance.yahoo.com/m/3e225c04-036c-339d-8748-f62e0992bf4a/nvidia-faces-suspicion-as-it.html
2025-08-13 16:00:00,"Breakout Watch: Nvidia, Broadcom In Focus, But Don't Forget This Semiconductor Stock",https://finance.yahoo.com/m/eb4a5992-32d8-369c-bf80-ff51fe67ea6c/breakout-watch%3A-nvidia%2C.html
2025-08-13 14:57:00,Nvidia Chip Deal Helps China's AI Goals: Dave Lee,https://finance.yahoo.com/video/nvidia-chip-deal-helps-chinas-185758682.html
2025-08-13 14:22:00,"Nvidia's China AI Chip Deal In Unchartered Territory, Experts Say; Is Nvidia A Buy Or Sell Now?",https://finance.yahoo.com/m/89eee851-e62a-3008-a6e9-8bc822bb2f50/nvidia%27s-china-ai-chip-deal.html
2025-08-13 14:16:00,U.S. may expand Nvidia and AMDs 15% China chips deal to other companies,https://finance.yahoo.com/news/u-may-expand-nvidia-amd-181654508.html
2025-08-13 13:52:00,White House says chips deals could perhaps expand to other companies,https://finance.yahoo.com/news/white-house-says-chips-deals-175251934.html
2025-08-13 13:51:00,"Trade Tracker: Brian Belski buys more Broadcom, Nvidia and AMD",https://www.youtube.com/watch?v=8D5SgeuYfBM
2025-08-13 13:27:00,Trump Defends 15% Nvidia China Revenue Deal,https://finance.yahoo.com/news/trump-defends-15-nvidia-china-172726311.html
2025-08-13 12:47:00,Veteran analyst drops blunt 7-word take on AMDs China deal,https://finance.yahoo.com/m/b8546b81-dc1b-3c75-a6ef-b07b2dbbe9d0/veteran-analyst-drops-blunt.html
2025-08-13 12:25:00,Advanced Micro Devices Rises 18% in a Month: Buy or Hold the Stock?,https://finviz.com/news/137175/advanced-micro-devices-rises-18-in-a-month-buy-or-hold-the-stock
2025-08-13 12:02:00,"With Nvidia's Q2 earnings in sight, Trump deal could boost outlook",https://finance.yahoo.com/news/with-nvidias-q2-earnings-in-sight-trump-deal-could-boost-outlook-160248595.html
2025-08-13 12:02:00,Intel is still a hot mess: Opening Bid top takeaway,https://finance.yahoo.com/news/intel-is-still-a-hot-mess-opening-bid-top-takeaway-160212981.html
2025-08-13 11:40:00,Commentary: Trump is reviving crony capitalism,https://finance.yahoo.com/news/commentary-trump-is-reviving-crony-capitalism-194752762.html
2025-08-13 10:23:00,Trump Drives Markets These Days. Economic Data Take a Back Seat.,https://www.barrons.com/articles/trump-markets-stocks-gold-bitcoin-oil-46bccc8e?mod=bar_FV
2025-08-13 09:57:00,"In the time of tariffs, Nvidia and AMD cut unusual deals with Trump",https://finance.yahoo.com/news/time-tariffs-nvidia-amd-cut-135722971.html
2025-08-13 09:57:00,"Mutual Funds Can't Get Enough Nvidia Stock, Google. Here's Why.",https://www.investors.com/research/nvidia-stock-nvda-google-googl-garmin-grmn-alphabet?mod=IBD_FV
