datetime,headline,url
Aug-13-25 Today 09:39AM,"Saudi Arabia Cloud Computing Market Outlook and Company Analysis Report 2025-2033 Featuring Google, AWS,  Alibaba, Microsoft, Oracle, CloudSigma, VMware, Salesforce, Saudi Telecom Co, IBM",https://finance.yahoo.com/news/saudi-arabia-cloud-computing-market-133900479.html
2025-08-13 09:29:00,Tencent Plans Cautious AI Spending After Results Beat Estimates,https://finance.yahoo.com/news/tencent-revenue-beats-estimates-boost-083333925.html
2025-08-13 09:21:00,Here's What Justified Alibaba's (BABA) Appreciation Over Time,https://finviz.com/news/139133/heres-what-justified-alibabas-baba-appreciation-over-time
2025-08-13 08:45:00,"These Stocks Are Moving the Most Today: CoreWeave, Cava, Intapp, Brinker, Alibaba, Webtoon, Sapiens, and More",https://finance.yahoo.com/m/c8e75081-7ab3-3414-98f2-cd0dc0202f4a/these-stocks-are-moving-the.html
2025-08-13 08:10:00,Q&A: Why Is China Discouraging Its Firms From Buying Nvidia H20 Chips?,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-08-13-2025/card/q-a-why-china-is-discouraging-its-firms-from-buying-nvidia-h20-chips-6W1HcfWm3rpRch1bDUmI?mod=wsj_FV
2025-08-13 08:00:00,"Tencent Posts Earnings Beat as AI Buoys Game, Ad Businesses",https://finance.yahoo.com/m/51c10c45-94b8-3e0e-8233-c85300e3f9ea/tencent-posts-earnings-beat.html
2025-08-13 07:19:00,"Alibaba, JD.com, Tencent Stocks Jump. Thank U.S. Rate-Cut Hopes.",https://www.barrons.com/articles/alibaba-stock-jd-com-tencent-fed-rate-cut-114f7418?mod=bar_FV
2025-08-13 06:00:00,"China Came Ready for This Trade Fight, and the US Has a Lot to Learn",https://finance.yahoo.com/news/china-came-ready-trade-fight-100030139.html
2025-08-13 05:35:00,"Stocks to Watch Wednesday: Tencent, Alibaba, Bullish, Cava",https://finance.yahoo.com/m/0dabcbf0-16e4-3d85-b61b-7c56d54a7d4d/stocks-to-watch-wednesday%3A.html
2025-08-13 02:35:00,Tencent Investors Eye Path to Record in Cheap Stock Valuations,https://finance.yahoo.com/news/tencent-investors-eye-path-record-063551684.html
2025-08-12 23:00:00,Chinas Lead in Open-Source AI Jolts Washington and Silicon Valley,https://finance.yahoo.com/m/e0982762-44ec-3b77-8076-e6feacaa42fa/china%E2%80%99s-lead-in-open-source.html
2025-08-12 22:00:00,Sea Sales Top Estimates as Online Shoppers Keep Spending,https://finance.yahoo.com/news/sea-sales-top-estimates-online-020049045.html
2025-08-12 18:14:00,"Don't Overlook These Chinese Tech Stocks as Q2 Earnings Approach: NTES, VIPS",https://finviz.com/news/137612/dont-overlook-these-chinese-tech-stocks-as-q2-earnings-approach-ntes-vips
2025-08-12 09:25:00,Analyst Report: Alibaba Group Holding Limited,https://finance.yahoo.com/m/bc91c855-32c4-31fa-b793-294beccc30fe/analyst-report%3A-alibaba-group.html
2025-08-12 01:02:00,China Urges Firms Not to Use Nvidia H20 Chips in New Guidance,https://finance.yahoo.com/news/china-urges-firms-not-nvidia-050254930.html
2025-08-11 20:00:00,"Access Advance Video Distribution Patent Pool Gains Further Momentum with the Signing of Alibaba, ZTE, and Youku",https://finance.yahoo.com/news/access-advance-video-distribution-patent-000000318.html
2025-08-11 17:45:00,Alibaba (BABA) Dips More Than Broader Market: What You Should Know,https://finviz.com/news/135799/alibaba-baba-dips-more-than-broader-market-what-you-should-know
2025-08-11 15:31:00,Alibaba-Backed Ninja Van Faces $1B Valuation Reset in Brutal Southeast Asia Funding Winter,https://finance.yahoo.com/news/alibaba-backed-ninja-van-faces-193138910.html
2025-08-11 11:54:00,Alibaba vs. Microsoft: Which Cloud Stock to Buy on Better AI Upside?,https://finviz.com/news/135449/alibaba-vs-microsoft-which-cloud-stock-to-buy-on-better-ai-upside
2025-08-11 07:46:00,"Alibaba Group (BABA) Plans to Wind Up its Members-Only Stores, Bloomberg Reports",https://finviz.com/news/134802/alibaba-group-baba-plans-to-wind-up-its-members-only-stores-bloomberg-reports
2025-08-10 04:25:00,Thinking of Buying Alibaba Stock? Here's 1 Green Flag and 1 Red Flag.,https://finviz.com/news/134495/thinking-of-buying-alibaba-stock-heres-1-green-flag-and-1-red-flag
2025-08-10 03:00:00,"Big Pension Exits Alibaba, Buys Quantum Stocks D-Wave, Rigetti, IonQ",https://finance.yahoo.com/m/dd80f97f-7e3b-3890-a0cb-c09c23762f48/big-pension-exits-alibaba%2C.html
2025-08-10 00:05:00,Alibaba Group Announces Its Pair of Smart Glasses Powered by Its AI Model,https://finviz.com/news/134480/alibaba-group-announces-its-pair-of-smart-glasses-powered-by-its-ai-model
2025-08-09 04:46:00,"The Smartest Growth Stocks to Buy With $1,000 Right Now",https://finviz.com/news/134287/the-smartest-growth-stocks-to-buy-with-1000-right-now
2025-08-08 11:34:00,5 Stocks to Buy on a Pullback,https://finviz.com/news/133853/5-stocks-to-buy-on-a-pullback
2025-08-08 09:00:00,Alibaba Group Holding Limited (BABA) Is a Trending Stock: Facts to Know Before Betting on It,https://finviz.com/news/133614/alibaba-group-holding-limited-baba-is-a-trending-stock-facts-to-know-before-betting-on-it
2025-08-07 12:39:00,"Alibaba Group Holding (BABA) Launched Amap 2025, World's Largest AI-Native Map",https://finviz.com/news/132255/alibaba-group-holding-baba-launched-amap-2025-worlds-largest-ai-native-map
2025-08-07 10:32:00,"Nvidia, AI Bets Lift SoftBank To Profit After Brutal Year-Ago Loss",https://finance.yahoo.com/news/nvidia-ai-bets-lift-softbank-143215322.html
2025-08-07 05:39:00,Alibaba May Close Last Hema X Stores,https://finance.yahoo.com/news/alibaba-may-close-last-hema-093920693.html
2025-08-06 08:25:00,"China's Alibaba to exit India's Eternal via block deal, CNBC-Awaaz reports",https://finance.yahoo.com/news/chinas-alibaba-exit-indias-eternal-122508046.html
2025-08-05 13:00:00,OpenAI launches two open AI reasoning models,https://finance.yahoo.com/news/openai-launches-two-open-ai-170000423.html
2025-08-05 05:10:00,JD.com to launch five discount stores as competition intensifies,https://finance.yahoo.com/news/jd-com-launch-five-discount-091018911.html
2025-08-05 05:07:00,Alibaba to Shut Costco-Like China Stores After Rivalry Heats Up,https://finance.yahoo.com/news/alibaba-shut-costco-china-stores-090744019.html
2025-08-05 01:48:00,China Neuralink Rival Seeks Pre-IPO Funds at $1.3 Billion Value,https://finance.yahoo.com/news/china-neuralink-rival-seeks-pre-054813709.html
2025-08-04 10:37:00,Benchmark Keeps Buy Rating on Alibaba (BABA) Despite Challenges,https://finviz.com/news/126465/benchmark-keeps-buy-rating-on-alibaba-baba-despite-challenges
2025-08-04 07:52:00,"China's Ant Group to exit India's Paytm, term sheet shows",https://finance.yahoo.com/news/chinas-ant-group-exit-indias-115217992.html
2025-08-04 07:30:00,"[Latest] Global Retail Media Networks Market Size/Share Worth USD 7.3 Billion by 2034 at a 20% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)",https://finance.yahoo.com/news/latest-global-retail-media-networks-113000407.html
2025-08-04 03:14:00,2 Growth Stocks That Could Skyrocket in 2025 and Beyond,https://finviz.com/news/125784/2-growth-stocks-that-could-skyrocket-in-2025-and-beyond
2025-08-04 01:18:00,"Xiaomi Unveils New AI Voice Model to Boost Auto, Home Tech",https://finance.yahoo.com/news/xiaomi-unveils-ai-voice-model-051836041.html
2025-08-03 05:41:00,"The Ultimate Growth Stock to Buy With $1,000 Right Now",https://finviz.com/news/125605/the-ultimate-growth-stock-to-buy-with-1000-right-now
2025-08-02 08:00:00,"3 Top Stocks to Buy With $1,000 in August",https://finviz.com/news/125480/3-top-stocks-to-buy-with-1000-in-august
2025-08-02 04:30:00,5 Cheap Tech Stocks to Buy Right Now,https://finviz.com/news/125382/5-cheap-tech-stocks-to-buy-right-now
2025-08-01 12:41:00,MELI Set to Report Q2 earnings: Time to Hold or Fold the Stock?,https://finviz.com/news/125110/meli-set-to-report-q2-earnings-time-to-hold-or-fold-the-stock
2025-08-01 09:47:00,3 Reasons to Buy Alibaba Stock Like There's No Tomorrow,https://finviz.com/news/124616/3-reasons-to-buy-alibaba-stock-like-theres-no-tomorrow
2025-08-01 07:45:00,Is Alibaba's Valuation Way Too Cheap -- or a Justified Risk?,https://finviz.com/news/124390/is-alibabas-valuation-way-too-cheap-or-a-justified-risk
2025-08-01 05:45:00,Here's How Trump's Tariffs Could Affect Alibaba Stock,https://finviz.com/news/124214/heres-how-trumps-tariffs-could-affect-alibaba-stock
2025-08-01 04:52:00,"Analyst Report: iQIYI, Inc.",https://finance.yahoo.com/m/d6d472e9-f337-3c02-acd6-1c0c2a3f4a21/analyst-report%3A-iqiyi%2C-inc..html
2025-08-01 01:29:00,"Alibaba, Meituan and JD Vow End to Food Delivery Price War",https://finance.yahoo.com/news/alibaba-meituan-jd-vow-end-052922071.html
2025-07-31 14:56:00,"Alibaba Just Made the First AI-Powered Glasses. Should You Buy, Sell, or Hold BABA Stock Here?",https://finance.yahoo.com/m/9343f8d3-24bd-3660-af58-93f41c137b38/alibaba-just-made-the-first.html
2025-07-31 12:18:00,China Summons Nvidia to Discuss Security Risks of H20 Chip,https://finance.yahoo.com/news/china-summons-nvidia-over-alleged-055703846.html
2025-07-31 09:30:00,Should You Invest in Alibaba (BABA) Based on Bullish Wall Street Views?,https://finviz.com/news/122792/should-you-invest-in-alibaba-baba-based-on-bullish-wall-street-views
2025-07-30 23:59:00,Bernstein Maintains a Buy on Alibaba Group (BABA),https://finviz.com/news/122082/bernstein-maintains-a-buy-on-alibaba-group-baba
2025-07-30 14:28:00,Alibaba (BABA) Enters the AI Wearables Race With New Smart Glasses,https://finviz.com/news/121462/alibaba-baba-enters-the-ai-wearables-race-with-new-smart-glasses
2025-07-30 11:28:00,Wall Street Is Betting on Alibaba Stock. Should You?,https://finance.yahoo.com/m/32b0d465-5527-3086-b055-9310bb187f19/wall-street-is-betting-on.html
2025-07-30 11:14:00,China's JD.com to buy Germany's Ceconomy in deal valuing it at $2.5 billion,https://finance.yahoo.com/news/takeover-talks-between-jd-com-151448826.html
2025-07-30 09:30:00,China Vies to Unseat US in Fight for $4.8 Trillion AI Market,https://finance.yahoo.com/news/china-prepares-unseat-us-fight-100000817.html
