datetime,headline,url,sentiment
2025-08-12 16:14:00,Buffett Shows Value of Working Past 65. That's When He Really Got Rich.,https://www.barrons.com/articles/warren-buffett-value-working-past-65-1cf1d87f?mod=bar_FV,Neutral
2025-08-13 15:52:00,"Buffett is not finding buying opportunities hence large cash pile, says Glenview Trust's Bill Stone",https://www.youtube.com/watch?v=-TL3GFLrKqg,Neutral
2025-08-13 13:07:00,"If You'd Invested $1,000 in Berkshire Hathaway Stock 5 Years Ago, Here's How Much You'd Have Today",https://finviz.com/news/137181/if-youd-invested-1000-in-berkshire-hathaway-stock-5-years-ago-heres-how-much-youd-have-today,Neutral
2025-08-13 07:23:00,These Are the Largest Financial Stocks by Market Cap. Here Are the 3 I'd Buy Today.,https://finviz.com/news/136507/these-are-the-largest-financial-stocks-by-market-cap-here-are-the-3-id-buy-today,Neutral
2025-08-13 06:49:00,Stock Market Cheer Amid Trump Tariffs Is Masking a Deeper Fear. Here's What.,https://www.barrons.com/articles/stock-market-trump-tariffs-things-to-know-today-9e45fa3d?mod=bar_FV,Negative
2025-08-13 05:22:00,Is Occidental Petroleum a Buy on the Dip?,https://finviz.com/news/136169/is-occidental-petroleum-a-buy-on-the-dip,Positive
2025-08-13 03:06:00,Warren Buffett Just Issued a $344 Billion Ominous Warning to Wall Street -- but Are Investors Paying Attention?,https://finviz.com/news/135966/warren-buffett-just-issued-a-344-billion-ominous-warning-to-wall-street-but-are-investors-paying-attention,Neutral
2025-08-11 20:48:00,Berkshire Hathaway Inc. (BRK-B) Target Edges to $597 at UBS,https://finviz.com/news/135931/berkshire-hathaway-inc-brk-b-target-edges-to-597-at-ubs,Neutral
2025-08-11 17:18:00,Berkshire Hathaway's Mystery Stock Could Be Revealed Thursday. Filings Offer Clues.,https://www.barrons.com/articles/berkshire-hathaway-mystery-stock-13-f-buffett-9120436f?mod=bar_FV,Neutral
2025-08-11 13:42:00,Is GEICO the Cornerstone of Berkshire Hathaway's Insurance Growth?,https://finviz.com/news/135598/is-geico-the-cornerstone-of-berkshire-hathaways-insurance-growth,Neutral
2025-08-11 10:56:00,Berkshire Hathaway Director's Firm Sold Almost 30% of Its Berkshire Stake,https://www.barrons.com/articles/berkshire-hathaway-stock-sale-buffett-28571fc9?mod=bar_FV,Neutral
