datetime,headline,url
2025-07-01 18:00:00,Currency ETFs to Watch as the Dollar Struggles,https://finviz.com/news/93747/currency-etfs-to-watch-as-the-dollar-struggles
2025-06-18 06:57:00,BOJ to Slow Down Bond Purchase Cuts From April 2026: ETFs in Focus,https://finviz.com/news/83114/boj-to-slow-down-bond-purchase-cuts-from-april-2026-etfs-in-focus
2025-06-13 15:31:00,Currency ETFs to Play With Dollar on the Ropes,https://finviz.com/news/80501/currency-etfs-to-play-with-dollar-on-the-ropes
2025-06-13 10:00:00,Israel's Strikes on Iran Boost Safe Haven ETF Demand,https://finviz.com/news/80286/israels-strikes-on-iran-boost-safe-haven-etf-demand
2025-05-29 08:00:00,ETFs in Focus Amid Japan's Soaring Bond Yields,https://finviz.com/news/68997/etfs-in-focus-amid-japans-soaring-bond-yields
2025-05-08 02:13:00,Asia markets rise on global trade optimism; U.S. futures jump as Trump hints at major trade deal,https://seekingalpha.com/news/4444113-asia-markets-rise-on-global-trade-optimism-us-futures-jump-as-trump-hints-at-major-trade-deal?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
2025-05-07 07:30:00,"Chart Of The Day: As Dollar Gets Dumped, Alternative Hunt Heats Up",https://seekingalpha.com/article/4782749-chart-of-the-day-as-dollar-gets-dumped-alternative-hunt-heats-up?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-07 07:14:00,U.S.-China Trade Talks This Weekend Help Stabilize The Greenback Ahead Of FOMC,https://seekingalpha.com/article/4782830-us-china-trade-talks-this-weekend-help-stabilize-the-greenback-ahead-of-fomc?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-07 01:31:00,Asia markets mostly rise on US-China trade talk optimism; India dips amid India-Pak tensions,https://seekingalpha.com/news/4442784-asia-markets-mostly-rise-on-us-china-trade-talk-optimism-india-dips-amid-india-pak-tensions?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
2025-05-05 07:16:00,"U.S. Dollar Remains Under Pressure, While Asia Pacific Currencies Lead The Charge",https://seekingalpha.com/article/4781756-us-dollar-remains-under-pressure-asia-pacific-currencies-lead-charge?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-04 00:30:00,Week Ahead: FOMC In No Hurry To Cut Rates While BOE Easing Set To Accelerate,https://seekingalpha.com/article/4781515-week-ahead-fomc-in-no-hurry-to-cut-rates-while-boe-easing-set-to-accelerate?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-03 03:40:00,Weekly Commentary: The Typical And Atypical,https://seekingalpha.com/article/4781463-weekly-commentary-the-typical-and-atypical?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-02 07:30:00,China's Feint Weighs On The Greenback Ahead Of Today's Employment Report,https://seekingalpha.com/article/4781062-chinas-feint-weighs-on-greenback-ahead-of-todays-employment-report?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-01 08:20:00,"Bank Of Japan On Hold, Trade Uncertainty The Reason",https://seekingalpha.com/article/4780391-bank-of-japan-on-hold-trade-uncertainty-reason?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-05-01 07:55:00,May Day: Dovish Hold By BOJ And Broadly Firmer Dollar,https://seekingalpha.com/article/4780378-may-day-dovish-hold-by-boj-and-broadly-firmer-dollar?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-30 08:00:00,International ETFs Hover Around One-Year High: 5 ETF Winners,https://finviz.com/news/40077/international-etfs-hover-around-one-year-high-5-etf-winners
2025-04-30 07:40:00,Weak U.S. Survey Data To Begin Being Evident In Real Sector Reports,https://seekingalpha.com/article/4779669-weak-us-survey-data-to-begin-being-evident-in-real-sector-reports?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-29 16:40:00,Japanese Yen Surges Due To Market Jitters,https://seekingalpha.com/article/4779399-japanese-yen-surges-due-to-market-jitters?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 07:12:00,Calm Before The Storm?,https://seekingalpha.com/article/4778731-calm-before-storm?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-27 00:30:00,May 2025 Monthly,https://seekingalpha.com/article/4778504-may-2025-monthly?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-26 04:22:00,Weekly Commentary: Hooked On Hedge Fund Leverage,https://seekingalpha.com/article/4778456-weekly-commentary-hooked-on-hedge-fund-leverage?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-26 03:00:00,Gold Isn't Going Up - Your Money Is Just Losing Value,https://seekingalpha.com/article/4778446-gold-not-going-up-money-losing-value?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-25 17:27:00,EDF: The Environment For Emerging Market Debt Has Changed,https://seekingalpha.com/article/4778384-edf-the-environment-for-emerging-market-debt-has-changed?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-25 05:00:00,Has Wall Street Peaked? ETF Strategies to Follow,https://finviz.com/news/33980/has-wall-street-peaked-etf-strategies-to-follow
2025-04-23 17:45:00,ETFs to Consider as Greenback Falls,https://finviz.com/news/32621/etfs-to-consider-as-greenback-falls
2025-04-21 07:13:00,Hulk Smash Dollar,https://seekingalpha.com/article/4776526-hulk-smash-dollar?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-20 11:20:00,"Week Ahead: Manic Activity Restrained, But Could Return",https://seekingalpha.com/article/4776412-week-ahead-manic-activity-restrained-but-could-return?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-18 03:30:00,"Japanese Inflation Accelerates, Complicating BoJ's Rate Decision Amid Global Uncertainty",https://seekingalpha.com/article/4776110-japanese-inflation-accelerates-complicating-boj-rate-decision-amid-global-uncertainty?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-17 15:35:00,USD/JPY Outlook: Relief Bounce In U.S. Dollar Before Yen Strength Resumes,https://seekingalpha.com/article/4776018-usdjpy-outlook-relief-bounce-in-us-dollar-before-yen-strength-resumes?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-17 07:55:00,The ECB Wants To Make It A Good Thursday,https://seekingalpha.com/article/4775858-ecb-wants-to-make-it-a-good-thursday?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-17 04:30:00,"Japanese Export Growth Slowed In March, And U.S. Tariffs Are Sure To Accelerate The Downshift",https://seekingalpha.com/article/4775797-japanese-export-growth-slowed-in-march-us-tariffs-sure-to-accelerate-downshift?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-16 07:15:00,"Short Reprieve Is Over, Volatility Is Back, And Dollar And Equities Slump",https://seekingalpha.com/article/4775522-short-reprieve-is-over-volatility-is-back-and-dollar-and-equities-slump?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-15 07:04:00,"Markets Consolidate, But Nervously So, Remaining One Social Media Post Away From Euphoria Or Doom",https://seekingalpha.com/article/4775219-markets-consolidate-but-nervously-so-remaining-one-social-media-post-away-from-euphoria-or-doom?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-14 07:11:00,"Greenback Remains On The Defensive, While Stocks And Bonds Come Back Better Bid",https://seekingalpha.com/article/4774947-greenback-remains-on-defensive-while-stocks-and-bonds-come-back-better-bid?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-13 03:45:00,Week Ahead: Liberation Day Leaves The Dollar Unloved,https://seekingalpha.com/article/4774766-week-ahead-liberation-day-leaves-the-dollar-unloved?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-11 20:13:00,Undervalued Yen Is Also One Of The Few 'Safe Havens',https://seekingalpha.com/article/4774627-undervalued-yen-is-also-one-of-the-few-safe-havens?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-11 18:00:00,Dollar Hits 3-Year Low: Which ETFs Stand to Gain or Lose?,https://finance.yahoo.com/m/b3cf17a0-47de-36e4-9366-a79a184d9721/dollar-hits-3-year-low%3A-which.html
2025-04-11 07:00:00,"After Stocks And Bonds Were Roiled, It Is The Dollar's Turn Today",https://seekingalpha.com/article/4774462-after-stocks-bonds-were-roiled-dollars-turn-today?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-10 07:05:00,Markets Remain Unsettled Despite The U.S. Postponement Of The Reciprocal Tariffs,https://seekingalpha.com/article/4774206-markets-remain-unsettled-despite-us-postponement-of-reciprocal-tariffs?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-09 16:36:00,Trump's 'Sledgehammer' Tariff Reversal - Our Reaction,https://seekingalpha.com/article/4774095-trumps-sledgehammer-tariff-reversal-our-reaction?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-08 07:27:00,Fragile Calm In The Capital Markets,https://seekingalpha.com/article/4773683-fragile-calm-capital-markets?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-07 08:05:00,Bank Of Japan Set For A Pause In May Amid Tariff Concerns,https://seekingalpha.com/article/4773434-bank-of-japan-set-for-pause-may-amid-tariff-concerns?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-07 07:30:00,Shades Of Smoot-Hawley: Depression Feared,https://seekingalpha.com/article/4773423-shades-of-smoot-hawley-depression-feared?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-06 02:10:00,The Week Ahead: Trade War And Price Action Are More Important Than U.S. And China's CPI,https://seekingalpha.com/article/4773227-the-week-ahead-trade-war-and-price-action-are-more-important-than-us-and-chinas-cpi?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-05 00:50:00,"Markets Weekly Outlook - FOMC Minutes, Tariff Developments And Inflation Ahead",https://seekingalpha.com/article/4773136-markets-weekly-outlook-fomc-minutes-tariff-developments-inflation-ahead?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-04 07:09:00,"Friday: Tariffs, U.S. Jobs, Powell, And Melting Equities",https://seekingalpha.com/article/4772989-friday-tariffs-us-jobs-powell-and-melting-equities?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-03 16:12:00,S&P 500: It's Not Too Late To Sell,https://seekingalpha.com/article/4772878-s-and-p-500-its-not-too-late-to-sell?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-03 10:25:00,New Tariff Worsens Trade War Fears: 5 Safe Haven ETFs to Buy,https://finviz.com/news/17314/new-tariff-worsens-trade-war-fears-5-safe-haven-etfs-to-buy
2025-04-03 07:03:00,The Day After,https://seekingalpha.com/article/4772715-the-day-after?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-03 02:15:00,Market Reaction To Liberation Day - This Is Just The Beginning,https://seekingalpha.com/article/4772660-market-reaction-to-liberation-day-just-the-beginning?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-02 07:15:00,Liberation Day From A Multilateral World,https://seekingalpha.com/article/4772476-liberation-day-from-multilateral-world?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-01 12:04:00,Rate Rise Pressure Underestimated In Japan,https://seekingalpha.com/article/4772279-rate-rise-pressure-underestimated-in-japan?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-01 07:05:00,"Dollar Consolidates, Bonds Rally, Stocks Recover, And Gold Extends Gains Ahead Of Tomorrow's U.S. Tariff Announcement",https://seekingalpha.com/article/4772200-dollar-consolidates-bonds-rally-stocks-recover-and-gold-extends-gains-ahead-of-tomorrows-us-tariff-announcement?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-31 09:05:00,Equities And Rates: Look Out Below,https://seekingalpha.com/article/4771892-equities-and-rates-look-out-below?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-31 08:00:00,Top ETF Stories of Q1 2025,https://finviz.com/news/13145/top-etf-stories-of-q1-2025
2025-03-30 04:15:00,April 2025 Monthly,https://seekingalpha.com/article/4771603-april-2025-monthly?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-28 07:03:00,"Tokyo Inflation On The Upside, France And Spain On The Downside, Stronger U.K. Retail Sales",https://seekingalpha.com/article/4771222-tokyo-inflation-upside-france-spain-downside-stronger-uk-retail-sales?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-27 07:15:00,Markets Hold Collective Breath As U.S. Offensive Launched,https://seekingalpha.com/article/4770810-markets-hold-collective-breath-as-us-offensive-launched?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-26 08:55:00,"Softer CPI Weighs On Sterling, Ahead Of Budget Statement",https://seekingalpha.com/article/4770541-softer-cpi-weighs-on-sterling-ahead-of-budget-statement?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-25 07:22:00,"FX Market Calm On The Surface, Angst Below",https://seekingalpha.com/article/4770178-fx-market-calm-on-surface-angst-below?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-22 22:44:00,Week Ahead: Is The Dollar Bottoming?,https://seekingalpha.com/article/4769717-week-ahead-is-the-dollar-bottoming?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-21 07:25:00,March Madness? The Dollar Is Closing In On Its Best Week This Month,https://seekingalpha.com/article/4769422-march-madness-the-dollar-is-closing-in-on-its-best-week-this-month?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-21 02:21:00,"Asia markets mixed after Wall Street dips as growth, tariff worries weigh",https://seekingalpha.com/news/4423242-asia-markets-mixed-after-wall-street-dips-as-growth-tariff-worries-weigh?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
2025-03-21 01:21:00,"Japan's core inflation rate slows to 3% in February, exceeds forecast; food prices slow slightly",https://seekingalpha.com/news/4423241-japans-core-inflation-rate-slows-to-3-in-february-exceeds-forecast-food-prices-slow-slightly?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
2025-03-20 09:20:00,Invesco American Franchise Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769072-invesco-american-franchise-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 09:05:00,Invesco Health Care Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769068-invesco-health-care-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 08:45:00,Invesco Global Opportunities Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769056-invesco-global-opportunities-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 07:00:00,Invesco Global Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769023-invesco-global-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 06:40:00,Invesco Global Focus Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769021-invesco-global-focus-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 06:00:00,Invesco Multi-Asset Income Fund Q4 2024 Commentary,https://seekingalpha.com/article/4769006-invesco-multi-asset-income-fund-q4-2024-commentary?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-03-20 02:47:00,Asia markets mixed after Fed hold; China holds LPR rate steady for 5th month,https://seekingalpha.com/news/4422613-asia-markets-mixed-after-fed-hold-china-holds-lpr-rate-steady-for-5th-month?utm_source=finviz.com&utm_medium=referral&feed_item_type=news
2022-12-06 14:15:00,Is US Dollars Decline a Net Positive for Equity ETFs?,https://finance.yahoo.com/news/us-dollar-decline-net-positive-191500893.html
2022-09-23 14:45:00,Dollar Rare Winner in Global Downturn,https://finance.yahoo.com/news/dollar-rare-winner-global-downturn-184500303.html
2022-06-17 13:00:00,Investing In Weakening Currencies,https://finance.yahoo.com/news/investing-weakening-currencies-170000410.html
2022-01-06 22:15:00,ETFs Impacted By Dollars Ascent,https://finance.yahoo.com/news/etfs-impacted-dollar-ascent-031500120.html
2021-01-14 15:45:00,Everything Rallying But Dollar ETFs,https://finance.yahoo.com/news/everything-rallying-dollar-etfs-204500252.html
2021-01-03 18:21:00,Currency Fluctuations: How they Affect the Economy,https://www.investopedia.com/articles/forex/080613/effects-currency-fluctuations-economy.asp?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
2020-02-20 08:00:00,Tough Time for Japan ETFs? COVID-19 Alone Isn't the Culprit,https://finance.yahoo.com/news/tough-time-japan-etfs-covid-130001529.html
2020-02-13 17:40:00,Safe-Haven ETFs Rally as Coronavirus Cases Surge,https://finance.yahoo.com/news/safe-haven-etfs-rally-coronavirus-224010584.html
2020-01-30 08:32:00,Currency ETF Winners & Losers From Coronavirus Outbreak,https://finance.yahoo.com/news/currency-etf-winners-losers-coronavirus-130001266.html
2020-01-27 10:00:00,5 ETFs to Protect Your Portfolio From Coronavirus Threat,https://finance.yahoo.com/news/5-etfs-protect-portfolio-coronavirus-150003528.html
2020-01-06 17:20:00,Safe-Haven ETFs Rally on Middle-East Unrest,https://finance.yahoo.com/news/safe-haven-etfs-rally-middle-222010641.html
2020-01-06 13:30:00,ETF Strategies to Stave Off Middle East Tension,https://finance.yahoo.com/news/etf-strategies-stave-off-middle-180006888.html
2019-11-15 14:33:00,Small Is Beautiful,https://www.investopedia.com/small-is-beautiful-4776384?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
2019-11-11 08:00:00,ETF Asset Report of Last Week: U.S. Stocks a Hit,https://finance.yahoo.com/news/etf-asset-report-last-week-130001691.html
2019-09-30 18:35:00,Play the Yen Bull Market With This ETF,https://finance.yahoo.com/news/play-yen-bull-market-etf-223510006.html
2019-09-17 15:37:00,Safe Haven ETFs to Grab Amid Middle East Tensions,https://finance.yahoo.com/news/safe-haven-etfs-grab-amid-193707392.html
2019-08-27 13:36:00,Trade War Gets Uglier: Here Are the ETF Winners & Losers,https://finance.yahoo.com/news/trade-war-gets-uglier-etf-173605378.html
2019-08-26 18:06:00,4 Japan ETFs May Be a Bargain Play,https://finance.yahoo.com/news/4-japan-etfs-may-bargain-220658899.html
2019-08-13 17:29:00,Safe-Haven ETFs Rally on Global Unrest: ETFs to Snap Up,https://finance.yahoo.com/news/safe-haven-etfs-rally-global-212909114.html
2019-08-11 21:26:00,One man stands between us and a currency war,https://www.marketwatch.com/story/one-man-stands-between-us-and-a-currency-war-2019-08-10?siteid=yhoof2
2019-08-05 15:46:00,Currency ETFs Reflect Fallout of Escalating Trade War,https://finance.yahoo.com/news/currency-etfs-reflect-fallout-escalating-194657304.html
2019-08-02 14:00:00,Grab These Safe Haven ETFs Amid Intensifying Trade Spat,https://finance.yahoo.com/news/grab-safe-haven-etfs-amid-180006434.html
2019-06-26 07:34:00,Japanese Yen ETF (FXY) Hits New 52-Week High,https://finance.yahoo.com/news/japanese-yen-etf-fxy-hits-113411911.html
2019-06-24 13:00:00,Go for Safe-Haven ETFs Amid Rising Geopolitical Risks,https://finance.yahoo.com/news/safe-haven-etfs-amid-rising-170005730.html
2019-05-08 09:41:00,"The Zacks Analyst Blog Highlights: FXY, BTAL, IWM, NURE and DIVA",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-fxy-134101984.html
2019-05-07 08:00:00,Beat Renewed Trade Tensions With These ETFs,https://finance.yahoo.com/news/beat-renewed-trade-tensions-etfs-120012884.html
2019-04-10 10:05:00,Profit From These ETFs if Market Turmoil Heightens,https://finance.yahoo.com/news/profit-etfs-market-turmoil-heightens-140502550.html
2019-03-25 11:10:00,4 Safe Haven ETFs to Escape Recession Warnings,https://finance.yahoo.com/news/4-safe-haven-etfs-escape-151003892.html
2019-03-18 14:30:00,Be Secure With 5 ETFs This Week That Packs a Global Punch,https://finance.yahoo.com/news/secure-5-etfs-week-packs-183006030.html
