datetime,headline,url
Aug-13-25 Today 01:32PM,"Reagan Foundation and GE Aerospace Announce 15th Class of GE-Reagan Foundation Scholarship Program Recipients to Receive $40,000 Each",https://finviz.com/news/137185/reagan-foundation-and-ge-aerospace-announce-15th-class-of-ge-reagan-foundation-scholarship-program-recipients-to-receive-40000-each
2025-08-13 11:02:00,"Boeing's July aircraft deliveries tumble 20% from June, trailing Airbus",https://finance.yahoo.com/news/boeings-july-aircraft-deliveries-tumble-150225946.html
2025-08-13 09:31:00,"Strategies Shaping the Aircraft Electrification Market 2025-2030 Featuring Siemens, Safran, General Electric, Thales, Airbus and More - Total Revenues to Double by 2030, Reaching $20 Billion",https://finance.yahoo.com/news/strategies-shaping-aircraft-electrification-market-133100543.html
2025-08-11 19:47:00,General Electric and United Nuclear Agree to Consent Decree for Cleanup of Uranium Mine Waste,https://www.wsj.com/business/general-electric-and-united-nuclear-agree-to-consent-decree-for-cleanup-of-uranium-mine-waste-aaaa468a?mod=wsj_FV
2025-08-09 20:32:00,Cathay Pacific To Purchase More GE Aerospace (GE) Engines To Power 777-9s,https://finviz.com/news/134419/cathay-pacific-to-purchase-more-ge-aerospace-ge-engines-to-power-777-9s
2025-08-09 08:30:00,"These 7 Stocks Are Analyst Favorites For Magnificent Earnings Growth; Arista, GE Lead",https://finance.yahoo.com/m/2b47c372-177e-3051-aa01-406a8d82b220/these-7-stocks-are-analyst.html
2025-08-08 16:00:00,"Step Aside, Nvidia And Palantir. Top Funds Get Fired Up About This Stock.",https://finance.yahoo.com/m/aaccc521-560d-3951-a006-238965be5e0b/step-aside%2C-nvidia-and.html
2025-08-08 12:08:00,Can Howmet Aerospace Maintain Its EBITDA Margin Expansion Streak?,https://finviz.com/news/133978/can-howmet-aerospace-maintain-its-ebitda-margin-expansion-streak
2025-08-07 13:01:00,"Jim Cramer Says ""GE Aerospace is Going Much Higher""",https://finviz.com/news/132335/jim-cramer-says-ge-aerospace-is-going-much-higher
2025-08-07 04:36:00,Is Wall Street Bullish or Bearish on GE Aerospace Stock?,https://finance.yahoo.com/m/8dc4fb32-79f3-3e94-bb7b-095303d1f2ca/is-wall-street-bullish-or.html
2025-08-06 16:14:00,"Meta, Microsoft, Google And AppLovin Lead This Breakout Watch",https://finance.yahoo.com/m/b37d1aa8-9848-3d23-bb68-c420616fa300/meta%2C-microsoft%2C-google-and.html
2025-08-06 11:22:00,Strength in Aerospace Technologies Unit Drives Honeywell: Can It Sustain?,https://finviz.com/news/130256/strength-in-aerospace-technologies-unit-drives-honeywell-can-it-sustain
2025-08-06 09:00:00,GE Aerospace (GE) Is a Trending Stock: Facts to Know Before Betting on It,https://finviz.com/news/129912/ge-aerospace-ge-is-a-trending-stock-facts-to-know-before-betting-on-it
2025-08-06 01:18:00,Cathay Pacific Signs Agreement for More GE Aerospace Engines to Power 777-9s,https://finviz.com/news/129306/cathay-pacific-signs-agreement-for-more-ge-aerospace-engines-to-power-777-9s
2025-08-05 16:05:00,Loews Corporation Elects Jennifer VanBelle to Its Board of Directors,https://finance.yahoo.com/news/loews-corporation-elects-jennifer-vanbelle-200500304.html
2025-08-05 15:34:00,"Tariffs are denting profits, and maybe soon your portfolio",https://finance.yahoo.com/news/tariffs-are-denting-profits-and-maybe-soon-your-portfolio-193421778.html
2025-08-05 15:34:00,"Commentary: Tariffs are denting profits, and maybe soon your portfolio",https://finance.yahoo.com/news/commentary-tariffs-are-denting-profits-and-maybe-soon-your-portfolio-193421241.html
2025-08-05 09:06:00,"United States Smart Pills Market Research and Company Analysis Report 2025-2033 Featuring Check-Cap, General Electric, Fujifilm, Koninklijke Philips, Medtronic, Olympus, Novartis, Otsuka",https://finance.yahoo.com/news/united-states-smart-pills-market-130600739.html
2025-08-05 06:22:00,"These Were the 5 Biggest Companies in 1999, and Here Are the 5 Biggest Companies Now",https://finviz.com/news/127593/these-were-the-5-biggest-companies-in-1999-and-here-are-the-5-biggest-companies-now
2025-08-04 20:30:00,Jeh Aerospace nets $11M to scale the commercial aircraft supply chain in India,https://finance.yahoo.com/news/jeh-aerospace-nets-11m-scale-003000739.html
2025-08-04 16:28:00,"Top Stock Picks for Week of August 4, 2025",https://finviz.com/news/127073/top-stock-picks-for-week-of-august-4-2025
2025-08-04 09:40:00,Is Ducommun (DCO) Stock Outpacing Its Aerospace Peers This Year?,https://finviz.com/news/126513/is-ducommun-dco-stock-outpacing-its-aerospace-peers-this-year
2025-08-04 09:30:00,Is GE (GE) a Buy as Wall Street Analysts Look Optimistic?,https://finviz.com/news/126446/is-ge-ge-a-buy-as-wall-street-analysts-look-optimistic
2025-08-04 06:47:00,Trump vs. the Bureau of Labor Statistics: Why This Firing Could Burn Your Finances,https://finance.yahoo.com/m/1ecb70a6-3df8-354c-baed-2424b96c124e/trump-vs.-the-bureau-of-labor.html
2025-08-04 05:49:00,Former General Electric CEO Jack Welch once claimed the jobs numbers were faked. How did that turn out?,https://finance.yahoo.com/news/former-general-electric-ceo-jack-094901468.html
2025-08-01 16:50:00,Buy Graham Holdings Stock. Its Parts Are Worth More Than the Whole.,https://www.barrons.com/articles/buy-graham-holdings-stock-price-pick-c3b18dbe?mod=bar_FV
2025-08-01 15:51:00,General Electric Stock Has Support in Place Still,https://finviz.com/news/125190/general-electric-stock-has-support-in-place-still
2025-08-01 14:16:00,Deere and Uber Stock Are Propelling an Industrial Resurgence. What Comes Next.,https://www.barrons.com/articles/deere-uber-boeing-stock-industrials-6230ebc9?mod=bar_FV
2025-08-01 09:30:00,The Zacks Analyst Blog Highlights Rolls-Royce and GE Aerospace,https://finviz.com/news/124690/the-zacks-analyst-blog-highlights-rolls-royce-and-ge-aerospace
2025-08-01 09:18:00,"Zacks Industry Outlook Highlights GE Aerospace, Airbus Group and Huntington Ingalls Industries",https://finviz.com/news/124648/zacks-industry-outlook-highlights-ge-aerospace-airbus-group-and-huntington-ingalls-industries
2025-07-31 14:16:00,Analyst Report: Comcast Corporation,https://finance.yahoo.com/m/9834ee16-ec38-3e31-b3e5-96a812baefce/analyst-report%3A-comcast.html
2025-07-31 11:13:00,"Howmet's Q2 Earnings & Revenues Top Estimates, Increase Y/Y",https://finviz.com/news/123143/howmets-q2-earnings-revenues-top-estimates-increase-yy
2025-07-31 10:44:00,3 Aerospace-Defense Stocks to Buy Amid Impressive Air Traffic View,https://finviz.com/news/123089/3-aerospace-defense-stocks-to-buy-amid-impressive-air-traffic-view
2025-07-31 10:03:00,Rolls-Royce vs. GE Aerospace: Which Engine Maker Has More Thrust in 2025?,https://finviz.com/news/122978/rolls-royce-vs-ge-aerospace-which-engine-maker-has-more-thrust-in-2025
2025-07-31 08:04:00,Investors Lock In On This GE Aerospace Peer. Here's Why.,https://www.investors.com/research/ibd-stock-analysis/elbit-stock-best-defense-stocks-ge-aeropsace-heico-howmet?mod=IBD_FV
2025-07-30 19:44:00,Analyst Report: Comcast Corporation,https://finance.yahoo.com/m/01717545-d497-3edd-a535-4fafe5250049/analyst-report%3A-comcast.html
2025-07-30 11:50:00,Airbus faces engine delays but reaffirms jet delivery targets,https://finance.yahoo.com/news/airbus-posts-higher-quarterly-profit-155059226.html
2025-07-30 11:36:00,Turkiye's TAI and GE Aerospace (GE) Sign Deal to Integrate F404 Engine into HURJET Jet Trainer,https://finviz.com/news/121218/turkiyes-tai-and-ge-aerospace-ge-sign-deal-to-integrate-f404-engine-into-hurjet-jet-trainer
2025-07-30 09:55:00,Add These 4 GARP Stocks to Your Portfolio to Receive Handsome Returns,https://finviz.com/news/121038/add-these-4-garp-stocks-to-your-portfolio-to-receive-handsome-returns
2025-07-30 08:52:00,"GE HealthCare Tops Estimates, Lifts Profit Outlook on Smaller Tariff Impact",https://finance.yahoo.com/m/fa6a999d-ad2d-3b0d-9cb6-f1c0b04ccfc6/ge-healthcare-tops-estimates%2C.html
2025-07-30 07:10:00,GE HealthCare Stock Rises as Earnings Beat. How Tariff Pressures Are Easing.,https://www.barrons.com/articles/ge-healthcare-earnings-stock-price-4f393c6f?mod=bar_FV
2025-07-29 14:38:00,It's not just Big Tech. Industrial stocks are on fire.,https://finance.yahoo.com/news/its-not-just-big-tech-industrial-stocks-are-on-fire-183841489.html
2025-07-29 12:20:00,Why GE (GE) Might be Well Poised for a Surge,https://finviz.com/news/119384/why-ge-ge-might-be-well-poised-for-a-surge
2025-07-29 09:05:00,NetJets Empowers Pilots With Cutting-Edge Safety Analytics From FlightPulse®,https://finance.yahoo.com/news/netjets-empowers-pilots-cutting-edge-130500703.html
2025-07-29 08:30:00,Everus Appoints Helena Hernandez to Board of Directors,https://finance.yahoo.com/news/everus-appoints-helena-hernandez-board-123000830.html
2025-07-29 07:46:00,"Saudi Arabia Home Energy Management System Market Overview and Company Analysis Report 2025-2033 Featuring Honeywell, General Electric, Comcast, Panasonic, Johnson Controls, Schneider Electric, Bosc",https://finance.yahoo.com/news/saudi-arabia-home-energy-management-114600351.html
2025-07-29 01:40:00,GE Aerospace (GE) Outlook Strong as UBS Lifts Price Target and Reaffirms Buy,https://finviz.com/news/118281/ge-aerospace-ge-outlook-strong-as-ubs-lifts-price-target-and-reaffirms-buy
2025-07-28 13:07:00,"Stock Market News, July 17, 2025: S&P Rises to New High With Earnings in Focus",https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-07-17-2025?mod=wsj_FV
2025-07-28 08:19:00,"With EU-U.S. Deal, Boeing and Airbus Are Freed From Tariffs Again",https://www.wsj.com/livecoverage/stock-market-today-dow-sp500-nasdaq-07-28-2025/card/with-eu-u-s-deal-boeing-and-airbus-are-freed-from-tariffs-again-SOgJeMtz6BB6Hc0JFSax?mod=wsj_FV
2025-07-28 07:34:00,"Saudi Arabia Data Center Market Overview and Company Analysis Report 2025-2033 Featuring Delta Electronics, Cisco Systems, Equinix, Fujitsu, General Electric, Hitachi, Schneider Electric, and Siemens",https://finance.yahoo.com/news/saudi-arabia-data-center-market-113400930.html
2025-07-26 15:00:00,Rising Fiscal Deficits Drive Billions Into Credit,https://finance.yahoo.com/news/rising-fiscal-deficits-drive-billions-190000703.html
2025-07-26 09:40:00,Think GE Aerospace Stock Is Expensive? This Chart Might Change Your Mind.,https://finviz.com/news/116367/think-ge-aerospace-stock-is-expensive-this-chart-might-change-your-mind
2025-07-25 12:10:00,GE Aerospace (GE) Price Target Hiked at Citi on Solid Guidance,https://finviz.com/news/115840/ge-aerospace-ge-price-target-hiked-at-citi-on-solid-guidance
2025-07-24 10:08:00,Honeywell Stock Falls After Earnings Beat. Here's Why.,https://www.barrons.com/articles/honeywell-earnings-stock-price-c75ff645?mod=bar_FV
2025-07-24 07:17:00,Kratos Defense Is Changing Warfare-Here's What's Driving It,https://finviz.com/news/113520/kratos-defense-is-changing-warfare-heres-whats-driving-it
2025-07-24 07:15:00,5 Must-Buy Stocks Amid Solid Earnings Estimate Revisions After Q2 Beat,https://finviz.com/news/113648/5-must-buy-stocks-amid-solid-earnings-estimate-revisions-after-q2-beat
2025-07-24 03:00:00,euroAtlantic Airways Grows With Its First A330-200 Aircraft,https://finance.yahoo.com/news/euroatlantic-airways-grows-first-a330-070000646.html
2025-07-23 19:30:00,Analyst Report: Comcast Corporation,https://finance.yahoo.com/m/92edecef-9db4-3083-a315-732872dd40ff/analyst-report%3A-comcast.html
2025-07-23 10:49:00,Howmet's Transportation Market Shrinks: What's the Path Forward?,https://finviz.com/news/112567/howmets-transportation-market-shrinks-whats-the-path-forward
