datetime,headline,url,sentiment
2025-08-11 11:30:00,5 ETFs to Benefit if Fed Cuts Rate in September,https://finviz.com/news/135388/5-etfs-to-benefit-if-fed-cuts-rate-in-september,Positive
2025-08-05 18:00:00,SGOV Pulls In $1.1B as Markets Rebound From Friday Rout,https://finance.yahoo.com/m/98e4c704-453c-3c87-8be2-f8a4b4a43325/sgov-pulls-in-%241.1b-as.html,Positive
2025-08-05 07:12:00,"3 Reasons the Market Can Rally, 2 Ways to Diversify If It Doesn't",https://finviz.com/news/127682/3-reasons-the-market-can-rally-2-ways-to-diversify-if-it-doesnt,Positive
2025-08-05 06:28:00,ETF Asset Report of the Month of July,https://finviz.com/news/127724/etf-asset-report-of-the-month-of-july,Neutral
2025-07-31 18:00:00,SPYD Attracts $759M in Assets as Fed Keeps Rates Unchanged,https://finance.yahoo.com/m/5d0ee292-0aff-353c-accc-810b1df8b335/spyd-attracts-%24759m-in-assets.html,Neutral
2025-07-31 05:55:00,All the pain for none of the discount: Why small caps are so toxic right now,https://www.marketwatch.com/story/all-the-pain-for-none-of-the-discount-why-small-caps-are-so-toxic-right-now-e84e0ba7?mod=mw_FV,Negative
2025-07-30 08:00:00,"S ETFs Trail Russell, CRSP Peers in Mid-Cap Race: CFRA",https://finance.yahoo.com/m/9d85679e-a76b-3117-bc02-cd294a9e3010/s-etfs-trail-russell%2C-crsp.html,Neutral
2025-07-28 09:02:00,"The Zacks Analyst Blog Highlights SPY, IWM, QQQS, DEEP, SGDJ and CALF",https://finviz.com/news/117267/the-zacks-analyst-blog-highlights-spy-iwm-qqqs-deep-sgdj-and-calf,Neutral
2025-07-25 06:00:00,Are Small Caps Finally Ready to Take the Leap?,https://finviz.com/news/115233/are-small-caps-finally-ready-to-take-the-leap,Neutral
2025-07-24 13:01:00,Alphabet and ServiceNow Smash Earnings: Why the Best Is Yet to Come,https://finance.yahoo.com/news/alphabet-servicenow-smash-earnings-why-170130959.html,Positive
2025-07-23 02:00:00,Are Index Funds Ruining Small-Cap Investing?,https://www.barrons.com/articles/index-funds-small-cap-investing-ed9fd48c?mod=bar_FV,Neutral
2025-07-21 06:20:00,Should Invesco S&P SmallCap 600 Revenue ETF (RWJ) Be on Your Investing Radar?,https://finviz.com/news/108955/should-invesco-sp-smallcap-600-revenue-etf-rwj-be-on-your-investing-radar,Neutral
2025-07-17 18:00:00,SBIL Adds $675M in Assets as Powell Rumors Swirl,https://finance.yahoo.com/m/d2ff1254-179b-377c-a962-9ec2744ce96a/sbil-adds-%24675m-in-assets-as.html,Neutral
2025-07-17 06:20:00,Should ALPS O'Shares U.S. Small-Cap Quality Dividend ETF (OUSM) Be on Your Investing Radar?,https://finviz.com/news/106208/should-alps-oshares-us-small-cap-quality-dividend-etf-ousm-be-on-your-investing-radar,Neutral
2025-07-17 06:20:00,Should iShares Russell 2000 ETF (IWM) Be on Your Investing Radar?,https://finviz.com/news/106209/should-ishares-russell-2000-etf-iwm-be-on-your-investing-radar,Neutral
2025-07-16 19:00:00,VTI Adds $1.6B in Assets as S 500 Hits New Record High,https://finance.yahoo.com/m/582ba5fd-b9ba-3da8-b0c4-98cc742ef047/vti-adds-%241.6b-in-assets-as-s.html,Positive
2025-07-15 06:20:00,Should Vanguard S&P Small-Cap 600 ETF (VIOO) Be on Your Investing Radar?,https://finviz.com/news/103638/should-vanguard-sp-small-cap-600-etf-vioo-be-on-your-investing-radar,Neutral
2025-07-10 18:00:00,SPY Adds $2.1B as Nasdaq Closes at New High,https://finance.yahoo.com/m/6226d71b-bfe9-34a8-af07-76ee8f7e9dc1/spy-adds-%242.1b-as-nasdaq.html,Neutral
2025-07-10 06:20:00,Should Vanguard Small-Cap ETF (VB) Be on Your Investing Radar?,https://finviz.com/news/99890/should-vanguard-small-cap-etf-vb-be-on-your-investing-radar,Neutral
2025-07-10 04:04:00,"Zacks Investment Ideas feature highlights: QQQ, IWM, SBET, CRCL, COIN, AES, MRK and VRNA",https://finviz.com/news/99775/zacks-investment-ideas-feature-highlights-qqq-iwm-sbet-crcl-coin-aes-mrk-and-vrna,Neutral
2025-07-09 09:34:00,Tariff Turbulence and Overbought Tech Mark Post-Holiday Trading,https://finviz.com/news/99221/tariff-turbulence-and-overbought-tech-mark-post-holiday-trading,Negative
2025-07-08 04:01:00,BlackRock iShares Bitcoin ETF Surges Past 700K BTC in Record-Breaking Run,https://finance.yahoo.com/m/7636f9cc-17b3-37eb-bb6f-fd51e45a016d/blackrock-ishares-bitcoin-etf.html,Positive
