datetime,headline,url,sentiment
Aug-13-25 Today 09:33AM,"Saudi Arabia Osteoporosis Drugs Market Analysis Report 2025-2033 Featuring Amgen, Eli Lilly and Co, F. Hoffmann La Roche, GlaxoSmithKline, Merck, Novartis, Pfizer, Teva Pharmaceutical, UCB",https://finance.yahoo.com/news/saudi-arabia-osteoporosis-drugs-market-133300857.html,Neutral
2025-08-13 08:15:00,"Texas Sues Eli Lilly For Alleged Kickback Scheme Involving Mounjaro, Zepbound",https://finance.yahoo.com/news/texas-sues-eli-lilly-alleged-121559171.html,Negative
2025-08-13 04:10:00,The 3 Things That Matter for Viking Therapeutics Now,https://finviz.com/news/137947/the-3-things-that-matter-for-viking-therapeutics-now,Neutral
2025-08-13 03:40:00,"Lilly launches Mounjaro pen in India at $160 for starting dose, stepping up Novo rivalry",https://finance.yahoo.com/news/lilly-launches-mounjaro-pen-india-074014836.html,Neutral
2025-08-12 19:08:00,Analyst Report: Incyte Corporation,https://finance.yahoo.com/m/136de8f8-834f-3a27-a3c6-b02c879e61a7/analyst-report%3A-incyte.html,Neutral
2025-08-12 19:07:00,These Eli Lilly executives have been scooping up stock after its big drop,https://www.marketwatch.com/story/these-eli-lilly-executives-have-been-scooping-up-stock-after-its-big-drop-73d2b767?mod=mw_FV,Neutral
2025-08-12 18:15:00,Lilly CEO Buys $1 Million of Stock After Share-Price Drop on Obesity Drug Data,https://www.barrons.com/articles/eli-lilly-ceo-stock-buy-6d1d5247?mod=bar_FV,Neutral
2025-08-12 13:37:00,Eli Lilly and GSK drive South Koreas drug licensing activity,https://finance.yahoo.com/m/b1779974-5f4a-39e1-95a3-0a591b2169f0/eli-lilly-and-gsk-drive-south.html,Neutral
2025-08-12 13:24:00,Texas sues Eli Lilly for allegedly bribing providers to prescribe its medications,https://finance.yahoo.com/news/texas-sues-eli-lilly-allegedly-172431159.html,Negative
2025-08-12 11:10:00,"The Zacks Analyst Blog Highlights Pfizer, Novo Nordisk and Eli Lilly",https://finviz.com/news/137047/the-zacks-analyst-blog-highlights-pfizer-novo-nordisk-and-eli-lilly,Neutral
2025-08-12 09:45:00,1 Reason to Buy Eli Lilly (LLY) Stock,https://finviz.com/news/136818/1-reason-to-buy-eli-lilly-lly-stock,Positive
2025-08-12 07:59:00,"If You'd Invested $1,000 in Eli Lilly (LLY) Stock 5 Years Ago, Here's How Much You'd Have Today",https://finviz.com/news/136579/if-youd-invested-1000-in-eli-lilly-lly-stock-5-years-ago-heres-how-much-youd-have-today,Neutral
2025-08-12 05:32:00,"US Personalized Medicine Market Trends and Company Analysis Report 2025-2033 Featuring Abbott, GE, Aadi Bioscience, Illumina, QIAGEN, Eli Lilly and Co, Takeda, AbbVie, F. Hoffmann-La Roche",https://finance.yahoo.com/news/us-personalized-medicine-market-trends-093200781.html,Neutral
2025-08-12 03:26:00,LLY Q2 Deep Dive: Weight Loss Pill Data and Channel Dynamics Spur Investor Uncertainty,https://finviz.com/news/136323/lly-q2-deep-dive-weight-loss-pill-data-and-channel-dynamics-spur-investor-uncertainty,Negative
2025-08-12 02:57:00,3 ways the GLP-1 market has changed shape this year,https://finance.yahoo.com/m/568e68af-000c-3258-b1e4-cf233e156f3f/3-ways-the-glp-1-market-has.html,Neutral
2025-08-12 02:57:00,Puerto Ricos ongoing journey from manufacturing hub to innovation enterprise,https://finance.yahoo.com/m/d33d3929-771d-35f5-b401-b9e2126b4930/puerto-rico%E2%80%99s-ongoing-journey.html,Neutral
2025-08-11 20:49:00,"Lightning Round: Get on board with Affirm, says Jim Cramer",https://www.youtube.com/watch?v=n443uLhO_oo,Neutral
2025-08-11 20:18:00,Lilly's Mounjaro Exhibits Heart Benefits In Type 2 Diabetes Landmark Trial,https://finviz.com/news/135888/lillys-mounjaro-exhibits-heart-benefits-in-type-2-diabetes-landmark-trial,Neutral
2025-08-11 18:01:00,PRIMECAP Management's Strategic Moves: Significant Reduction in Eli Lilly and Co,https://finance.yahoo.com/news/primecap-managements-strategic-moves-significant-220143801.html,Neutral
2025-08-11 15:48:00,Why Eli Lilly Stock Popped Today,https://finviz.com/news/135691/why-eli-lilly-stock-popped-today,Neutral
2025-08-11 12:31:00,Why Eli Lilly (LLY) Stock Is Trading Up Today,https://finviz.com/news/135441/why-eli-lilly-lly-stock-is-trading-up-today,Positive
2025-08-11 12:25:00,Lilly first to opt for confidential reimbursement price in Germany,https://finance.yahoo.com/m/f4a10099-c435-3651-80a3-a5508f57a386/lilly-first-to-opt-for.html,Neutral
2025-08-11 11:57:00,3 Top Stocks to Load Up on After Earnings,https://finviz.com/news/135383/3-top-stocks-to-load-up-on-after-earnings,Positive
2025-08-11 10:23:00,Can Eli Lilly Keep Up as NVO Eyes First Oral Obesity Pill Approval?,https://finviz.com/news/135340/can-eli-lilly-keep-up-as-nvo-eyes-first-oral-obesity-pill-approval,Neutral
2025-08-11 10:19:00,Eli Lilly (LLY) Announced Positive Results From its Phase 3 ATTAIN-1 Trial of Orforglipron,https://finviz.com/news/135208/eli-lilly-lly-announced-positive-results-from-its-phase-3-attain-1-trial-of-orforglipron,Positive
2025-08-11 09:15:00,Lilly (LLY) Reliance on International Sales: What Investors Need to Know,https://finviz.com/news/135174/lilly-lly-reliance-on-international-sales-what-investors-need-to-know,Neutral
2025-08-11 09:12:00,Should Pfizer Stock Be in Your Portfolio After Solid Q2 Results?,https://finviz.com/news/135196/should-pfizer-stock-be-in-your-portfolio-after-solid-q2-results,Neutral
2025-08-11 09:00:00,Eli Lilly and Company (LLY) is Attracting Investor Attention: Here is What You Should Know,https://finviz.com/news/135112/eli-lilly-and-company-lly-is-attracting-investor-attention-here-is-what-you-should-know,Neutral
2025-08-11 07:46:00,Leerink Downgrades Eli Lilly and Company (LLY) to Market Perform From Outperform,https://finviz.com/news/134801/leerink-downgrades-eli-lilly-and-company-lly-to-market-perform-from-outperform,Positive
2025-08-10 16:15:00,Morningstar | A Weekly Summary of Stock Ideas and Developments in the Companies We Cover,https://finance.yahoo.com/m/a1242b1b-8666-368a-86a7-bd66717227bc/morningstar-%7C-a-weekly.html,Neutral
2025-08-09 10:00:00,Trump GLP-1 Pilot Program Could Boost Novo Nordisk & Eli Lilly,https://finviz.com/news/134328/trump-glp-1-pilot-program-could-boost-novo-nordisk-eli-lilly,Positive
2025-08-09 06:04:00,Apple notches best week in years; Trump shakes Fed leadership: This Week in markets,https://finance.yahoo.com/m/1667c2a0-a167-3e04-a826-a8b206c01378/apple-notches-best-week-in.html,Positive
2025-08-08 18:57:00,Analyst Report: Elanco Animal Health Incorporated,https://finance.yahoo.com/m/8df9b7a7-811d-35ba-b7b8-9f651ea915ca/analyst-report%3A-elanco-animal.html,Neutral
2025-08-08 17:25:00,Why Eli Lilly Stock Sank 18% This Week,https://finviz.com/news/134187/why-eli-lilly-stock-sank-18-this-week,Positive
2025-08-08 17:08:00,GLP-1 race heats up: Where Eli Lilly stands after weak trial data,https://finance.yahoo.com/video/glp-1-race-heats-where-210819379.html,Negative
2025-08-08 16:52:00,Health Care Roundup: Market Talk,https://finance.yahoo.com/m/ad879aed-cd08-33fd-b76e-e62d37760a1f/health-care-roundup%3A-market.html,Neutral
2025-08-08 14:34:00,"Calls of the Day: Eli Lilly, E.L.F. Beauty and CRH PLC",https://www.youtube.com/watch?v=xMN6ZOYywAA,Neutral
2025-08-08 14:28:00,Investing.coms stocks of the week,https://finance.yahoo.com/news/investing-com-stocks-week-182845316.html,Neutral
2025-08-08 13:30:00,This Unusually Active Wayfair Put Option Explains a Lot About the Current Markets,https://finance.yahoo.com/m/d1f72aae-0fa7-38f3-b225-c89f576835ed/this-unusually-active-wayfair.html,Neutral
2025-08-08 13:17:00,The Stock Market Gains Despite Noisy Week. Call It Complacency-or the Right Thing to Do.,https://www.barrons.com/articles/stock-market-gains-earnings-rates-a3c37d60?mod=bar_FV,Negative
2025-08-08 12:19:00,Did Eli Lilly Stock Just Have Its Novo Nordisk Moment?,https://www.barrons.com/articles/eli-lilly-weight-loss-novo-nordisk-stock-price-1928f760?mod=bar_FV,Neutral
2025-08-08 12:00:00,Sitryx regains rights to SYX-1042 itaconate mimetic for chronic autoimmune and inflammatory diseases from Lilly following portfolio reprioritization,https://finance.yahoo.com/news/sitryx-regains-rights-syx-1042-160000681.html,Neutral
