datetime,headline,url
Aug-14-25 Today 09:01AM,PACSUN JOINS McDONALD'S AS THE EXCLUSIVE FASHION PARTNER FOR THE RETURN OF McDONALDLAND,https://finance.yahoo.com/news/pacsun-joins-mcdonalds-exclusive-fashion-130100925.html
2025-08-14 05:35:00,McDonalds and DoorDash introduce US online ordering system,https://finance.yahoo.com/m/88b4a6ce-8df3-3313-bc9d-984994cc3eff/mcdonald%E2%80%99s-and-doordash.html
2025-08-13 18:28:00,3 Earnings Reports Give a Snapshot of Consumer Sentiment,https://finviz.com/news/140005/3-earnings-reports-give-a-snapshot-of-consumer-sentiment
2025-08-13 16:01:00,Arcos Dorados to Participate in Upcoming Investor Events,https://finance.yahoo.com/news/arcos-dorados-participate-upcoming-investor-200100560.html
2025-08-13 12:26:00,"CAVA Stock Down 23% Post Q2 Earnings: Should You Buy, Sell or Hold?",https://finviz.com/news/139595/cava-stock-down-23-post-q2-earnings-should-you-buy-sell-or-hold
2025-08-13 11:54:00,"McDonald's, DoorDash launch streamlined online ordering experience",https://chainstoreage.com/mcdonalds-doordash-launch-streamlined-online-ordering-experience
2025-08-13 11:11:00,McDonald's Japan apologizes for chaotic 3-day Pokemon Happy Meal promo,https://qz.com/mcdonalds-japan-apologizes-pokemon-happy-meal-promo
2025-08-13 11:07:00,McDonalds Japan apologizes for Pokemon Happy Meal promo,https://finance.yahoo.com/m/95270337-d6d2-3b34-9d63-d6840cfa24ac/mcdonald%E2%80%99s-japan-apologizes.html
2025-08-13 10:41:00,McDonalds launches new online ordering channel in partnership with DoorDash,https://finance.yahoo.com/m/040c9c08-df4e-3b28-a6c5-0b1756a8b42d/mcdonald%E2%80%99s-launches-new.html
2025-08-13 10:15:00,McDonald's Franchisee Arcos Dorados Sees Growth Driven By Digital Sales Despite Brazil Margin Pressures,https://finance.yahoo.com/news/mcdonalds-franchisee-arcos-dorados-sees-141523664.html
2025-08-13 09:01:00,McDonalds and DoorDash Expand Global Partnership with New Online Ordering Experience in U.S.,https://www.businesswire.com/news/home/20250813041428/en/The
2025-08-13 07:13:00,McDonalds launches first-party delivery channel with DoorDash,https://finance.yahoo.com/m/96a42e27-6998-3cae-9ac2-7825cc832c9f/mcdonald%E2%80%99s-launches.html
2025-08-13 05:04:00,Cavas traffic growth slows as consumers show reticence,https://finance.yahoo.com/m/4b7e67dc-5fad-371c-8feb-ccb82c4b76d7/cava%E2%80%99s-traffic-growth-slows.html
2025-08-13 05:00:00,Dutch Bros CEO says company in 'growth mode' as Starbucks turnaround stokes beverage competition,https://finance.yahoo.com/news/dutch-bros-ceo-says-company-in-growth-mode-as-starbucks-turnaround-stokes-beverage-competition-090031858.html
2025-08-13 01:43:00,5 Revealing Analyst Questions From McDonald's's Q2 Earnings Call,https://finviz.com/news/137770/5-revealing-analyst-questions-from-mcdonaldss-q2-earnings-call
2025-08-12 13:51:00,Fast Food Bets Big on Beverages to Get Customers Through the Door,https://finance.yahoo.com/m/6acfa559-1780-35fd-a9dd-54a60996a688/fast-food-bets-big-on.html
2025-08-12 11:23:00,Snapchat Launches McDonaldland AR Experience,https://finance.yahoo.com/m/bf0e2d37-e0af-3a6b-bdce-a93b9519e65f/snapchat-launches.html
2025-08-12 11:01:00,Women in Restaurant Leadership Announces McDonald's Executive Tabassum Zalotrawala as Opening Keynote for 2026 Together Summit,https://finance.yahoo.com/news/women-restaurant-leadership-announces-mcdonalds-150100147.html
2025-08-12 09:44:00,"2025 Brand Reputation Summit | Future-Proof Your Brand - Tactics and Tools from Industry Leaders at the Summit (Philadelphia, PA, United States - October 20-21, 2025)",https://finance.yahoo.com/news/2025-brand-reputation-summit-future-134400371.html
2025-08-12 09:15:00,McDonald's Stock Outlook: Is Wall Street Bullish or Bearish?,https://finance.yahoo.com/m/0314b291-25e4-3c4b-ad73-4773269fb332/mcdonald%27s-stock-outlook%3A-is.html
2025-08-12 09:00:00,"McDonalds and Chick-fil-A Top Consumers List for Best Technology Experience at a Quick-Service Restaurant, Canopy Research Finds",https://finance.yahoo.com/news/mcdonald-chick-fil-top-consumers-130000509.html
2025-08-12 03:13:00,MCD Q2 Deep Dive: Menu Innovation and Value Platform Drive Performance Amid Consumer Pressures,https://finviz.com/news/136264/mcd-q2-deep-dive-menu-innovation-and-value-platform-drive-performance-amid-consumer-pressures
2025-08-12 03:00:00,Grab a Cold Brew With Your Burger. Why McDonalds and Others Are Big on Beverages.,https://finance.yahoo.com/m/6acfa559-1780-35fd-a9dd-54a60996a688/grab-a-cold-brew-with-your.html
2025-08-11 17:04:00,McDonalds Launches VR Experience in Metas Horizon Worlds,https://finance.yahoo.com/m/4d6b9cb5-7881-34df-81e5-4ca864251633/mcdonald%E2%80%99s-launches-vr.html
2025-08-11 12:21:00,McDonalds introduces a digital McDonaldland experience,https://finance.yahoo.com/m/4600a8fb-6f76-3cae-91cc-6b668e637967/mcdonald%E2%80%99s-introduces-a.html
2025-08-11 11:27:00,McDonalds India expands presence in Jharkhand state,https://finance.yahoo.com/m/e0fb104f-9e49-339d-9eec-31618f40d649/mcdonald%E2%80%99s-india-expands.html
2025-08-11 11:18:00,Fast food brands fire up AI despite challenging backdrop,https://finance.yahoo.com/m/edd00181-10f5-37dd-86a7-53f18cf437ea/fast-food-brands-fire-up-ai.html
2025-08-11 10:46:00,McDonald's promoting new meal deal with 'virtual universe',https://chainstoreage.com/mcdonalds-promoting-new-meal-deal-virtual-universe
2025-08-11 10:00:00,From Crew Member to Icon: Shania Twain Gets All Dressed Up with McDonald's Canada,https://finance.yahoo.com/news/crew-member-icon-shania-twain-140000316.html
2025-08-11 09:02:00,How KFCs Potato Wedge LTO ties into its comeback strategy,https://finance.yahoo.com/m/64fd3f84-308e-3a9c-9f67-2ba9a8b9df76/how-kfc%E2%80%99s-potato-wedge-lto.html
2025-08-11 09:00:00,Big Blue Swim School Appoints Tracy Stockard as Chief Marketing Officer,https://finance.yahoo.com/news/big-blue-swim-school-appoints-130000478.html
2025-08-11 06:50:00,India calls for boycott of American goods over Trump tariffs,https://finance.yahoo.com/video/india-calls-boycott-american-goods-105031614.html
2025-08-11 06:30:00,Earnings Show Fast-Food Giants Embroiled in a Game of Chicken,https://finance.yahoo.com/m/e67f5ec5-b459-3ac1-8086-7e48012a8c82/earnings-show-fast-food.html
2025-08-11 06:00:00,"Step Inside McDonaldland VR: A Bold New Immersive World Featuring Grimace, Ronald McDonald, and Friends",https://finance.yahoo.com/news/step-inside-mcdonaldland-vr-bold-100000841.html
2025-08-11 03:52:00,"In India, Trump's tariffs spark calls to boycott American goods",https://finance.yahoo.com/news/india-trumps-tariffs-spark-calls-075205668.html
2025-08-10 14:59:00,The computer science dream has become a nightmare,https://finance.yahoo.com/news/computer-science-dream-become-nightmare-185942789.html
2025-08-09 10:00:00,Trump GLP-1 Pilot Program Could Boost Novo Nordisk & Eli Lilly,https://finviz.com/news/134328/trump-glp-1-pilot-program-could-boost-novo-nordisk-eli-lilly
2025-08-09 08:00:00,Restaurant chains feel the pinch as US consumers tighten their belts,https://finance.yahoo.com/news/restaurant-chains-feel-pinch-us-120009124.html
2025-08-08 18:00:00,"Pfizer, McDonalds, Intel, Apple: Stocks That Defined the Week",https://finance.yahoo.com/m/5a880ac2-5c90-33b4-8f60-2692f54cd9be/pfizer%2C-mcdonald%E2%80%99s%2C-intel%2C.html
2025-08-08 17:03:00,"The Score: Apple, Palantir, Intel and More Stocks That Defined the Week",https://www.wsj.com/finance/stocks/the-score-apple-palantir-intel-and-more-stocks-that-defined-the-week-73ef9152?mod=wsj_FV
2025-08-08 17:01:00,"Earnings live: SoundHound AI stock soars, The Trade Desk tanks as Q2 earnings season starts winding down",https://finance.yahoo.com/news/live/earnings-live-soundhound-ai-stock-soars-the-trade-desk-tanks-as-q2-earnings-season-starts-winding-down-210131401.html
2025-08-08 16:11:00,Sweetgreen Shares Tumble After Ripple Fries Fail to Thrill,https://finance.yahoo.com/news/sweetgreen-takes-record-plunge-ripple-145458245.html
2025-08-08 15:41:00,Former Fugitive Advisor and CNBC Pundit Sentenced to 5 Years for Fraud,https://finance.yahoo.com/m/8fe69952-8440-33b9-be52-6b5d16772542/former-fugitive-advisor-and.html
2025-08-08 15:30:00,"McDonald's Corporation (MCD): Analysts Are Focused On The Wrong Things,  Says Jim Cramer",https://finviz.com/news/134146/mcdonalds-corporation-mcd-analysts-are-focused-on-the-wrong-things-says-jim-cramer
2025-08-08 14:50:00,"Nasdaq, S&P 500 Look to Win Turbulent Week With Records",https://finviz.com/news/134048/nasdaq-sp-500-look-to-win-turbulent-week-with-records
2025-08-08 08:26:00,"Earnings live: SoundHound AI stock soars, The Trade Desk gets pummeled, Wendy's lowers profit forecast",https://finance.yahoo.com/news/live/earnings-live-soundhound-ai-stock-soars-the-trade-desk-gets-pummeled-wendys-lowers-profit-forecast-122622630.html
2025-08-08 06:14:00,"Wendys adopts McDonalds chicken tender playbook, boosts beverages",https://finance.yahoo.com/m/88f529cc-a79f-3727-8d8c-160efe4e9e83/wendy%E2%80%99s-adopts-mcdonald%E2%80%99s.html
2025-08-07 20:24:00,"Krispy Kreme, McDonalds call off partnership, citing unsustainable operating costs of $28.9 million",https://finance.yahoo.com/news/krispy-kreme-terminates-mcdonald-partnership-002417750.html
2025-08-07 18:16:00,Corrections & Amplifications,https://finance.yahoo.com/m/a9013473-55e5-375c-8d2b-f5f38a589513/corrections-%26-amplifications.html
2025-08-07 17:23:00,Krispy Kreme announces turnaround plan after McDonalds partnership ends,https://finance.yahoo.com/m/3a38d741-ba7d-34fd-b761-a5539703c015/krispy-kreme-announces.html
2025-08-07 16:53:00,"Earnings live: Eli Lilly stock slides, Pinterest sells off, Expedia and Block gain after hours",https://finance.yahoo.com/news/live/earnings-live-eli-lilly-stock-slides-pinterest-sells-off-expedia-and-block-gain-after-hours-205302959.html
2025-08-07 16:53:00,"Earnings live: Eli Lilly stock slides, Pinterest sells off, Block gains after hours",https://finance.yahoo.com/news/live/earnings-live-eli-lilly-stock-slides-pinterest-sells-off-block-gains-after-hours-205235055.html
2025-08-07 14:00:00,Whats More American Than the McLobster?,https://finance.yahoo.com/m/6dbfed22-cad7-398f-948f-e7f76f575f8d/what%E2%80%99s-more-american-than-the.html
2025-08-07 13:59:00,"There's a spending split between Americans, and it's popping up from McDonald's to Uber",https://finance.yahoo.com/m/16569d1f-3903-35dc-a76a-d4b42dad6c4d/there%27s-a-spending-split.html
