datetime,headline,url,sentiment
Aug-15-25 Today 09:00AM,"Investors Heavily Search Netflix, Inc. (NFLX): Here is What You Need to Know",https://finviz.com/news/141867/investors-heavily-search-netflix-inc-nflx-here-is-what-you-need-to-know,Neutral
2025-08-15 08:30:00,2 Growth Stocks That Are No-Brainer Buys Right Now,https://finviz.com/news/141766/2-growth-stocks-that-are-no-brainer-buys-right-now,Neutral
2025-08-15 08:00:00,YouTube Creators Are Invading TV. How This Surge Could Power Google Stock.,https://finance.yahoo.com/m/892b7ab9-f9ca-35c5-9275-12380b9b2ce3/youtube-creators-are-invading.html,Positive
2025-08-14 17:02:00,How Netflix struck gold on the Billboard charts with 'KPop Demon Hunters',https://www.marketwatch.com/story/how-netflix-struck-gold-on-the-billboard-charts-with-kpop-demon-hunters-0c4ee763?mod=mw_FV,Neutral
2025-08-14 11:28:00,This Turnaround Stock Has Tripled from Its 52-Week Lows: Is It Still a Buy?,https://finance.yahoo.com/m/199d403e-0619-3786-9b0e-835e2fe74145/this-turnaround-stock-has.html,Positive
2025-08-14 10:25:00,NFLX vs. ROKU: Which Ad-Supported Streaming Stock is the Better Buy?,https://finviz.com/news/140902/nflx-vs-roku-which-ad-supported-streaming-stock-is-the-better-buy,Positive
2025-08-14 08:20:00,5 Discretionary Stocks to Boost Your Portfolio on Rising Rate Cut Hopes,https://finviz.com/news/140656/5-discretionary-stocks-to-boost-your-portfolio-on-rising-rate-cut-hopes,Positive
2025-08-14 07:00:00,Netflix Bear Call Spread Could Net 15% in Five Weeks,https://finance.yahoo.com/m/cedba8e2-1365-3b34-8eea-c9b25f673618/netflix-bear-call-spread.html,Neutral
2025-08-14 06:57:00,Stocks slip after PPI data: Yahoo Finance,https://finance.yahoo.com/video/wall-street-trump-nvidia-tesla-205438087.html,Neutral
2025-08-14 00:39:00,2 Nasdaq 100 Stocks to Research Further and 1 Facing Challenges,https://finviz.com/news/140186/2-nasdaq-100-stocks-to-research-further-and-1-facing-challenges,Negative
2025-08-13 10:46:00,"This Former Tech Exec Worked At Meta, TikTok And Netflix  Then Built A Million-Dollar Business Linking South Korea To The US Market",https://finance.yahoo.com/news/former-tech-exec-worked-meta-144609223.html,Neutral
2025-08-12 18:28:00,NFL and WWE Land on ESPN-The Impact on Disney and TKO Stocks,https://finviz.com/news/137544/nfl-and-wwe-land-on-espn-the-impact-on-disney-and-tko-stocks,Neutral
2025-08-12 16:09:00,Big Tech is driving the stock market to new records,https://finance.yahoo.com/news/big-tech-is-driving-the-stock-market-to-new-records-200917939.html,Positive
2025-08-12 12:30:00,Netflix's Content Strength Drives Engagement: What's the Path Forward?,https://finviz.com/news/137182/netflixs-content-strength-drives-engagement-whats-the-path-forward,Positive
2025-08-12 09:00:00,TKO delivers a 'knockout' with UFC and WWE deals as Wall Street sees more upside ahead,https://finance.yahoo.com/news/tko-delivers-a-knockout-with-ufc-and-wwe-deals-as-wall-street-sees-more-upside-ahead-130026007.html,Positive
2025-08-12 06:30:00,Paramount Ponies Up $7.7 Billion to Win UFC Rights,https://finance.yahoo.com/m/b6c0ee43-f83e-3765-84a0-65efaf0e9b8f/paramount-ponies-up-%247.7.html,Neutral
2025-08-12 06:30:00,Ford Crosses into Fast Lane With $2 Billion Affordable EV Plan,https://finance.yahoo.com/m/4ed76c5f-4ba4-315f-a71c-7960498f490b/ford-crosses-into-fast-lane.html,Neutral
2025-08-12 03:31:00,Disney Stock Drops Following Revenue Miss. Time to Buy the Dip?,https://finviz.com/news/135972/disney-stock-drops-following-revenue-miss-time-to-buy-the-dip,Negative
2025-08-11 17:50:00,Why sports dominate the media industry & what's next in 2026,https://finance.yahoo.com/video/why-sports-dominate-media-industry-215038514.html,Neutral
2025-08-11 17:06:00,IPO Market Stays Hot With These 2 Debuting Stocks,https://finviz.com/news/135766/ipo-market-stays-hot-with-these-2-debuting-stocks,Neutral
2025-08-11 14:48:00,"Final Trades: Netflix, Wynn Resorts, Buckle and the XLV",https://www.youtube.com/watch?v=hJ0LXpWcfjM,Neutral
2025-08-11 11:58:00,Fox and ESPN to Offer Streaming Services in $40-a-Month Bundle,https://finance.yahoo.com/news/fox-espn-offer-streaming-services-155854769.html,Neutral
2025-08-11 10:20:00,Netflix (NFLX) Secures Broadcasting Rights for FIFA Women's World Cup,https://finviz.com/news/135205/netflix-nflx-secures-broadcasting-rights-for-fifa-womens-world-cup,Neutral
2025-08-11 08:36:00,4 Stocks to Bet on as Nasdaq's Northbound Journey Continues,https://finviz.com/news/135077/4-stocks-to-bet-on-as-nasdaqs-northbound-journey-continues,Neutral
2025-08-10 18:05:00,CEO Bob Iger Announces Joint Hulu and Disney+ Streaming Service. What Does It Mean for Investors?,https://finviz.com/news/134550/ceo-bob-iger-announces-joint-hulu-and-disney-streaming-service-what-does-it-mean-for-investors,Neutral
2025-08-10 10:00:00,"Palantirs 2,500% run has bulls scrambling to justify valuation",https://finance.yahoo.com/news/palantir-2-500-run-bulls-140000031.html,Positive
2025-08-09 09:00:00,Traders Are Fleeing Stocks Feared to Be Under Threat From AI,https://finance.yahoo.com/news/traders-fleeing-stocks-feared-under-130001182.html,Negative
2025-08-09 04:00:00,"Forget the ""Magnificent Seven."" It's Time to Start Talking About the ""Ten Titans.""",https://finviz.com/news/134276/forget-the-magnificent-seven-its-time-to-start-talking-about-the-ten-titans,Neutral
2025-08-08 16:35:00,Netflix Bulls vs. Bears: Who Wins This Pullback?,https://finviz.com/news/134161/netflix-bulls-vs-bears-who-wins-this-pullback,Neutral
2025-08-08 13:15:00,"Netflix's $6 Billion UK Spend Pays Off With Strong Growth, Membership Gains",https://finance.yahoo.com/news/netflixs-6-billion-uk-spend-171521982.html,Positive
2025-08-08 11:34:00,Parks & Streaming Drive Disney's Q3 Results: Time to Buy the Stock?,https://finviz.com/news/133910/parks-streaming-drive-disneys-q3-results-time-to-buy-the-stock,Positive
2025-08-08 09:32:00,Netflix revenues hit record high amid BBC licence fee exodus,https://finance.yahoo.com/m/d8dba27d-b08e-3a4d-ab5e-753750c79146/netflix-revenues-hit-record.html,Positive
2025-08-08 06:45:00,5 Top Stocks to Buy in August,https://finviz.com/news/133347/5-top-stocks-to-buy-in-august,Positive
2025-08-08 01:54:00,Netflix Stock: Is Wall Street Bullish or Bearish?,https://finance.yahoo.com/m/ea4994e9-b90b-345c-921f-bc2fd407a5f0/netflix-stock%3A-is-wall-street.html,Positive
2025-08-07 13:32:00,Good news for media companies is proving to be bad news for their stocks,https://www.marketwatch.com/story/good-news-for-media-companies-is-proving-to-be-bad-news-for-their-stocks-96a4a040?mod=mw_FV,Positive
2025-08-07 13:01:00,"Jim Cramer on Netflix: ""It's a Very Highly Valued Stock""",https://finviz.com/news/132342/jim-cramer-on-netflix-its-a-very-highly-valued-stock,Positive
2025-08-07 12:40:00,"New Street Lifts Netflix (NFLX) PT to $1,210 Amid Strong Performance, Ad Growth",https://finviz.com/news/132272/new-street-lifts-netflix-nflx-pt-to-1210-amid-strong-performance-ad-growth,Positive
2025-08-07 12:39:00,"Piper Sandler Reiterated a Buy Rating on Netflix (NFLX), Kept the PT Unchanged",https://finviz.com/news/132259/piper-sandler-reiterated-a-buy-rating-on-netflix-nflx-kept-the-pt-unchanged,Positive
2025-08-07 12:11:00,"Warner Bros. Discovery Q2 Earnings Beat Estimates, Revenues Rise Y/Y",https://finviz.com/news/132352/warner-bros-discovery-q2-earnings-beat-estimates-revenues-rise-yy,Positive
2025-08-07 06:15:00,Is Disney About to Beat Netflix in Streaming?,https://finviz.com/news/131356/is-disney-about-to-beat-netflix-in-streaming,Positive
2025-08-07 05:30:00,Disney's Thriving Parks Are Buying It Time to Figure Out Streaming,https://www.wsj.com/business/media/disneys-thriving-parks-are-buying-it-time-to-figure-out-streaming-f24a32b1?mod=wsj_FV,Positive
2025-08-07 00:46:00,2 S&P 500 Stocks to Keep an Eye On and 1 Facing Challenges,https://finviz.com/news/131257/2-sp-500-stocks-to-keep-an-eye-on-and-1-facing-challenges,Negative
2025-08-06 12:37:00,Disney Scores Earnings Beat and 2 Big ESPN Deals,https://finance.yahoo.com/m/b7c1c63d-d56e-33f5-850d-02657fa54100/disney-scores-earnings-beat.html,Positive
2025-08-06 11:52:00,"Disneys ESPN to Buy NFL Network, Other Assets in Stock Swap",https://finance.yahoo.com/news/disney-espn-buy-nfl-network-001024438.html,Neutral
2025-08-06 10:20:00,"Disney Beats on Earnings, Strikes ESPN Deals. Why the Stock Is Slipping Anyway.",https://finance.yahoo.com/m/b7c1c63d-d56e-33f5-850d-02657fa54100/disney-beats-on-earnings%2C.html,Positive
2025-08-06 09:56:00,Netflix Stock Hasnt Gone Anywhere in 3 Months. How Should You Play NFLX Here?,https://finance.yahoo.com/m/b0ded78c-f190-37f1-88d3-a74ab6ecfe50/netflix-stock-hasn%E2%80%99t-gone.html,Neutral
2025-08-06 07:16:00,Disney Beats on Earnings Thanks to Streaming and Parks. The Stock Slips.,https://finance.yahoo.com/m/b7c1c63d-d56e-33f5-850d-02657fa54100/disney-beats-on-earnings.html,Positive
2025-08-06 05:04:00,Disney Strikes ESPN Deal With the NFL. The Stock Rises as Earnings Loom.,https://www.barrons.com/articles/disney-earnings-stock-price-espn-nfl-d7ae6a5a?mod=bar_FV,Positive
2025-08-05 16:30:00,Disney Earnings Are Coming Up. The Stock Is on a Tear.,https://www.barrons.com/articles/disney-stock-price-earnings-plus-parks-d7ae6a5a?mod=bar_FV,Positive
2025-08-05 09:35:00,Waymo may be worth $200B+ using Tesla as benchmarkDA Davidson,https://finance.yahoo.com/news/waymo-may-worth-200b-using-133510853.html,Neutral
2025-08-05 09:15:00,3 Stocks to Hold for 20 Years,https://finviz.com/news/128079/3-stocks-to-hold-for-20-years,Neutral
2025-08-05 08:34:00,Netflix and Badger Meter have been highlighted as Zacks Bull and Bear of the Day,https://finviz.com/news/128076/netflix-and-badger-meter-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,Neutral
2025-08-05 06:00:00,Disney's Massive Bet on the NFL,https://finviz.com/news/127570/disneys-massive-bet-on-the-nfl,Neutral
2025-08-05 04:00:00,"Bull of the Day: Netflix, Inc. (NFLX)",https://finviz.com/news/127514/bull-of-the-day-netflix-inc-nflx,Neutral
2025-08-04 19:39:00,"3 Popular Stocks to Consider as Earnings Approach: DIS, FTNT, SHOP",https://finviz.com/news/127299/3-popular-stocks-to-consider-as-earnings-approach-dis-ftnt-shop,Neutral
2025-08-04 18:01:00,Why Netflix Stock Lost 13% in July,https://finviz.com/news/127128/why-netflix-stock-lost-13-in-july,Negative
2025-08-04 13:10:00,Figma sheds $11 billion in market value days after blockbuster IPO,https://finance.yahoo.com/news/figma-sheds-11-billion-market-171055432.html,Neutral
2025-08-04 10:49:00,Disney Stock Before Q3 Earnings: Buy Now or Wait for Results?,https://finviz.com/news/126618/disney-stock-before-q3-earnings-buy-now-or-wait-for-results,Positive
2025-08-04 09:25:00,"Is Netflix Stock a Buy, Sell, or Hold in 2025?",https://finviz.com/news/126255/is-netflix-stock-a-buy-sell-or-hold-in-2025,Positive
2025-08-04 09:00:00,"Here is What to Know Beyond Why Netflix, Inc. (NFLX) is a Trending Stock",https://finviz.com/news/126298/here-is-what-to-know-beyond-why-netflix-inc-nflx-is-a-trending-stock,Neutral
2025-08-04 08:53:00,Netflix (NFLX) Surged as Multiple Tailwinds Align,https://finviz.com/news/126177/netflix-nflx-surged-as-multiple-tailwinds-align,Positive
2025-08-03 04:05:00,"Up 33% Year to Date, Is Netflix Stock Still a Buy?",https://finviz.com/news/125593/up-33-year-to-date-is-netflix-stock-still-a-buy,Positive
2025-08-02 04:02:00,1 Underrated Reason to Buy This Unstoppable Stock,https://finviz.com/news/125365/1-underrated-reason-to-buy-this-unstoppable-stock,Positive
2025-08-01 14:06:00,"Final Trades: Netflix, Palo Alto Networks and Transocean",https://www.youtube.com/watch?v=eidwpvb7LIk,Neutral
2025-08-01 10:05:00,"Heres whats worth streaming in August 2025 on Netflix, Hulu, HBO Max, Disney+ and more",https://finance.yahoo.com/m/da608cbc-79c7-32c9-aed5-d0b62351b076/here%E2%80%99s-what%E2%80%99s-worth-streaming.html,Neutral
2025-08-01 08:02:00,Netflix Wants To Be The Next Disney. It's A Big World After All As Kingdom Expands.,https://www.investors.com/news/technology/netflix-stock-internet-tv-network-new-disney?mod=IBD_FV,Neutral
2025-08-01 08:00:00,What Aiming To Be The Next Disney Could Mean For Netflix Stock,https://finance.yahoo.com/m/5bc89a6f-df30-35c4-bae4-6bd2451866f9/what-aiming-to-be-the-next.html,Neutral
2025-07-31 23:32:00,"Jim Cramer on Netflix: ""It's Going To Be Fine""",https://finviz.com/news/124113/jim-cramer-on-netflix-its-going-to-be-fine,Neutral
2025-07-31 14:16:00,Meta's earnings blowout has destroyed tech's AI concern: Opening Bid top takeaway,https://finance.yahoo.com/news/metas-earnings-blowout-has-destroyed-techs-ai-concern-opening-bid-top-takeaway-181654006.html,Negative
2025-07-31 13:58:00,Should You Buy FIG Stock Following the Figma IPO Today?,https://finance.yahoo.com/m/ee368b25-1bbb-3592-8cda-6e6ca8a57502/should-you-buy-fig-stock.html,Neutral
2025-07-31 11:01:00,"Subway, Netflix partner for immersive 'Happy Gilmore 2' store experience",https://chainstoreage.com/subway-netflix-partner-immersive-happy-gilmore-2-store-experience,Neutral
2025-07-31 10:07:00,Comcast Stock Rises After Earnings. The Focus Is All on One Number.,https://finance.yahoo.com/m/47cfaa4f-f3f2-3a3f-b5c6-8b785f8683a4/comcast-stock-rises-after.html,Neutral
2025-07-31 09:30:00,Wall Street Analysts Look Bullish on Netflix (NFLX): Should You Buy?,https://finviz.com/news/122803/wall-street-analysts-look-bullish-on-netflix-nflx-should-you-buy,Positive
2025-07-31 08:00:00,Subway to turn restaurant into 'Happy Gilmore 2' experience,https://www.nrn.com/quick-service/subway-to-turn-restaurant-into-happy-gilmore-2-experience,Neutral
2025-07-31 08:00:00,"Here's what's worth streaming in August 2025 on Netflix, Hulu, HBO Max, Disney+ and more",https://www.marketwatch.com/story/heres-whats-worth-streaming-in-august-2025-on-netflix-hulu-hbo-max-disney-and-more-2654312a?mod=mw_FV,Neutral
2025-07-31 07:21:00,Comcast Stock Rises After Earnings. There's Plenty of Good News for Investors.,https://www.barrons.com/articles/comcast-earnings-stock-price-df9768d9?mod=bar_FV,Positive
2025-07-30 16:30:00,Comcast Earnings Are Nearly Here. This Number Is Key.,https://finance.yahoo.com/m/47cfaa4f-f3f2-3a3f-b5c6-8b785f8683a4/comcast-earnings-are-nearly.html,Neutral
