datetime,headline,url,sentiment
2025-08-12 20:58:00,Trump's 15% Nvidia chip levy hints at new trade game,https://www.digitimes.com/news/a20250813PD203/revenue-chips-donald-trump-technology-nvidia.html,Neutral
2025-08-13 20:30:00,Prediction: Nvidia Stock Will Be Worth This Much by the End of 2025,https://finviz.com/news/137631/prediction-nvidia-stock-will-be-worth-this-much-by-the-end-of-2025,Neutral
2025-08-13 20:27:00,"Dell, Nvidia, and Elastic Join Forces to Supercharge AI Workloads",https://finance.yahoo.com/news/dell-nvidia-elastic-join-forces-002713219.html,Neutral
2025-08-13 19:08:00,Two Chinese robot firms join Nvidia to drive 'physical AI' boom,https://www.digitimes.com/news/a20250812PD222/china-nvidia-robot-robotics-training-manufacturing.html,Neutral
2025-08-13 18:42:00,CoreWeave Reports Strong Revenue. The Stock Is Down Sharply.,https://finance.yahoo.com/m/62033505-c354-3c92-abfb-4cc651cd2e03/coreweave-reports-strong.html,Positive
2025-08-13 18:33:00,"Nvidia and AMD get 'thanks, but no thanks' from China",https://finance.yahoo.com/m/f1a6ad30-4c94-3010-9870-d5073e49d4a1/nvidia-and-amd-get-%27thanks%2C.html,Neutral
2025-08-13 17:27:00,"If Qualcomm Holds $145, Its Next Move Could Be Massive",https://finviz.com/news/137513/if-qualcomm-holds-145-its-next-move-could-be-massive,Neutral
2025-08-13 17:02:00,"Tech, Media & Telecom Roundup: Market Talk",https://finance.yahoo.com/m/99325738-ae96-3720-a2fc-8c0e7307f68e/tech%2C-media-%26-telecom.html,Neutral
2025-08-13 17:02:00,Intel's White House Reset: From Political Storm to a Clearer Sky,https://finviz.com/news/137506/intels-white-house-reset-from-political-storm-to-a-clearer-sky,Neutral
2025-08-13 16:54:00,CoreWeave Revenue Tops Estimates On Compute Demand. Beat Smaller Than Q1.,https://finance.yahoo.com/m/335d2702-02e7-3728-ad06-f6c04b493676/coreweave-revenue-tops.html,Positive
2025-08-13 16:53:00,"Stock Market Today: Dow Rallies, S&P 500 And Nasdaq Make History; Nvidia, Palantir Both Do This",https://finance.yahoo.com/m/93e773ba-51a6-34e3-b6dc-82f3467148a1/stock-market-today%3A-dow.html,Neutral
2025-08-13 16:35:00,CoreWeave Revenue Triples on Hot AI Demand,https://finance.yahoo.com/m/295d4704-15e7-3b34-91fc-3c333cbcc5eb/coreweave-revenue-triples-on.html,Positive
2025-08-13 16:11:00,CoreWeave revenue beats estimates on AI boom but shares fall on bigger loss,https://finance.yahoo.com/news/coreweave-beats-quarterly-revenue-estimates-201121390.html,Positive
2025-08-13 16:09:00,Big Tech is driving the stock market to new records,https://finance.yahoo.com/news/big-tech-is-driving-the-stock-market-to-new-records-200917939.html,Positive
2025-08-13 16:07:00,CoreWeave Reports Strong Second Quarter 2025 Results,https://finance.yahoo.com/news/coreweave-reports-strong-second-quarter-200700581.html,Positive
2025-08-13 16:00:00,"Breakout Watch: Nvidia, Broadcom In Focus, But Don't Forget This Semiconductor Stock",https://finance.yahoo.com/m/eb4a5992-32d8-369c-bf80-ff51fe67ea6c/breakout-watch%3A-nvidia%2C.html,Neutral
2025-08-13 15:55:00,"The Stock Market Is Betting on Big Tech and Rate Cuts, Not the Economy",https://www.barrons.com/articles/stock-market-big-tech-rate-cuts-economy-2b4075f2?mod=bar_FV,Negative
