datetime,headline,url,sentiment
Aug-14-25 Today 10:30AM,LongPoint Asset Management Inc. Opens the Market,https://finance.yahoo.com/news/longpoint-asset-management-inc-opens-143000148.html,Neutral
2025-08-14 10:26:00,"The TopBrand 2025 ""Top 500 Global Brands list"" has been released, with Microsoft ranking first.",https://finance.yahoo.com/news/topbrand-2025-top-500-global-142600043.html,Neutral
2025-08-14 10:21:00,Nvidia's Next Challenger? Intel-Backed Rivos Eyes $500 Million to Take On AI Inference Market,https://finance.yahoo.com/news/nvidias-next-challenger-intel-backed-142109304.html,Negative
2025-08-14 10:20:00,DeepSeek Postpones New AI Model After Huawei Chip Hurdles,https://finance.yahoo.com/news/deepseek-postpones-ai-model-huawei-142018962.html,Negative
2025-08-14 10:08:00,"China Tempers Nvidia H20 Use -- No Ban, But Heavy Scrutiny",https://finance.yahoo.com/news/china-tempers-nvidia-h20-no-140812997.html,Negative
2025-08-14 10:08:00,Palantir's Soaring Valuation-Justified or Overhyped?,https://finviz.com/news/140761/palantirs-soaring-valuation-justified-or-overhyped,Positive
2025-08-14 09:56:00,Stock Market Today: Dow Jones Index Slides On Hot PPI Inflation; AI Stock Coherent Dives On Earnings (Live Coverage),https://finance.yahoo.com/m/36087ff9-fb9e-3e36-b7a8-503812d7e13a/stock-market-today%3A-dow-jones.html,Neutral
2025-08-14 09:47:00,Nvidias Trump Tax of Little Worry to Investors Eyeing AI Riches,https://finance.yahoo.com/news/nvidia-trump-tax-little-worry-111029400.html,Neutral
2025-08-14 09:45:00,Insatiable Demand For AI Data Centers  And Space  Fuels This Stock,https://finance.yahoo.com/m/46e7e7a2-2f00-34fb-8e0e-2a12bec244c6/insatiable-demand-for-ai-data.html,Negative
2025-08-14 09:23:00,"Data Center GPU Company Evaluation Report 2025 | NVIDIA, Intel, and AMD Lead",https://finance.yahoo.com/news/data-center-gpu-company-evaluation-132300436.html,Neutral
2025-08-14 09:15:00,"Sure, Nvidias (NVDA) Hot But Bargain-Hunting Investors Should Consider This Overlooked Semiconductor Name",https://finance.yahoo.com/m/d55021cb-072c-3444-a869-6025fa8125a4/sure%2C-nvidia%E2%80%99s-%28nvda%29-hot-but.html,Neutral
2025-08-14 09:00:00,Virtana Partnering with NVIDIA to Enhance AI Factory Observability,https://finance.yahoo.com/news/virtana-partnering-nvidia-enhance-ai-130000819.html,Positive
2025-08-14 09:00:00,VAST Data Collaborates with SK Telecom to Optimize Koreas Largest AI Infrastructure based on NVIDIA Supercomputers,https://finance.yahoo.com/news/vast-data-collaborates-sk-telecom-130000056.html,Neutral
2025-08-14 08:39:00,Mizuho lifts price targets on global AI server stocks,https://finance.yahoo.com/news/mizuho-lifts-price-targets-global-123929470.html,Positive
2025-08-14 08:34:00,CoreWeave's Q2 Sparks Massive Sell-Off -- Is This the Buy-the-Dip Moment?,https://finance.yahoo.com/news/coreweaves-q2-sparks-massive-sell-123433827.html,Positive
2025-08-14 08:30:00,How Nvidia's H20 chip found itself at the center of the U.S.-China trade war,https://www.marketwatch.com/story/how-nvidias-h20-chip-found-itself-at-the-center-of-the-u-s-china-trade-war-75c6ad37?mod=mw_FV,Neutral
2025-08-14 08:06:00,Micron Stock: Insatiable Demand For AI Data Centers - And Space - Fuels Buy Zone,https://www.investors.com/research/ibd-stock-analysis/micron-stock-ai-data-centers-space-exploration?mod=IBD_FV,Neutral
2025-08-14 08:00:00,Buy Soaring Tech Stock FN Before Earnings for AI Growth?,https://finviz.com/news/140613/buy-soaring-tech-stock-fn-before-earnings-for-ai-growth,Positive
2025-08-14 07:08:00,"Largest U.S. Pension Buys Up Coinbase, Palantir, Nvidia, and Robinhood Stock",https://finance.yahoo.com/m/b7eba984-3d1d-3273-99ad-4f1d6fe58283/largest-u.s.-pension-buys-up.html,Neutral
2025-08-14 07:04:00,EDB Accelerates Enterprise AI Adoption with NVIDIA,https://finance.yahoo.com/news/edb-accelerates-enterprise-ai-adoption-110400727.html,Positive
2025-08-14 07:02:00,3 Companies That Will Profit From Trump's Semiconductor Tariffs,https://finviz.com/news/140412/3-companies-that-will-profit-from-trumps-semiconductor-tariffs,Neutral
2025-08-14 06:57:00,Bitcoin rises to a record and Bullish shares soar on debut: Yahoo Finance,https://finance.yahoo.com/video/wall-street-trump-nvidia-tesla-205438087.html,Positive
2025-08-14 06:52:00,"Intelligent Robotics Company Evaluation Report 2025 | NVIDIA, AMD, and Intel Lead with AI, High-Performance Computing, and Data Center Innovation",https://finance.yahoo.com/news/intelligent-robotics-company-evaluation-report-105200342.html,Positive
2025-08-14 06:36:00,Nvidia Stock Rally Pauses. Foxconn Has Good News on AI Server Demand.,https://www.barrons.com/articles/nvidia-stock-price-ai-chips-foxconn-0a079abf?mod=bar_FV,Positive
2025-08-14 06:30:00,4 trends among retail investors according to Robinhood's CIO,https://finance.yahoo.com/video/4-trends-among-retail-investors-103030097.html,Neutral
2025-08-14 06:15:00,"The Best Stocks to Invest $1,000 in Right Now",https://finviz.com/news/140327/the-best-stocks-to-invest-1000-in-right-now,Positive
2025-08-14 06:15:00,Tesla CEO Elon Musk Just Delivered Incredible News for Nvidia Stock Investors,https://finviz.com/news/140329/tesla-ceo-elon-musk-just-delivered-incredible-news-for-nvidia-stock-investors,Positive
2025-08-14 05:45:00,Foxconn Profit Beats on Solid AI Hardware Sales,https://finance.yahoo.com/m/871859ec-3d49-3806-b03f-655c1af8abbb/foxconn-profit-beats-on-solid.html,Positive
2025-08-14 05:30:00,Is Broadcom Poised to Be the Next Nvidia?,https://finviz.com/news/140244/is-broadcom-poised-to-be-the-next-nvidia,Positive
2025-08-14 05:30:00,CoreWeave Rode the AI Boom. Can It Pass a Crucial Test of Investor Enthusiasm?,https://www.wsj.com/finance/stocks/coreweave-rode-the-ai-boom-can-it-pass-a-crucial-test-of-investor-enthusiasm-ca8817cc?mod=wsj_FV,Positive
2025-08-14 05:06:00,Nvidia Partner Hon Hai Expects AI Sales to Double as Phones Wane,https://finance.yahoo.com/news/nvidia-partner-hon-hai-profit-062355624.html,Positive
2025-08-14 05:00:00,AI Development Is Accelerating: 1 Vanguard ETF to Buy Right Now,https://finviz.com/news/140230/ai-development-is-accelerating-1-vanguard-etf-to-buy-right-now,Positive
2025-08-14 04:15:00,Frank Sands Reduces Shopify Inc. Holdings by 38.31% in Q2 2025,https://finance.yahoo.com/news/frank-sands-reduces-shopify-inc-081507978.html,Neutral
