datetime,headline,url
2025-08-13 08:36:00,Will Breyanzi's Strong Uptake Help BMY Offset Generic Competition?,https://finviz.com/news/139170/will-breyanzis-strong-uptake-help-bmy-offset-generic-competition
2025-08-12 09:40:00,Why This 1 Value Stock Could Be a Great Addition to Your Portfolio,https://finviz.com/news/136886/why-this-1-value-stock-could-be-a-great-addition-to-your-portfolio
2025-08-12 04:28:00,Novartis shares slightly up after Ianalumab meets goals in Phase 3 trial,https://finance.yahoo.com/news/novartis-shares-slightly-ianalumab-meets-082840929.html
2025-08-12 02:05:00,Novartiss Ianalumab Meets Goals in Phase 3 Trial to Treat Autoimmune Disease,https://finance.yahoo.com/m/7982434d-97d7-394d-8ab7-6398ff874b9e/novartis%E2%80%99s-ianalumab-meets.html
2025-08-12 01:15:00,"Novartis ianalumab Phase III trial meets primary endpoint in ITP, demonstrating statistically significant improvement in time to treatment failure",https://finance.yahoo.com/news/novartis-ianalumab-phase-iii-trial-051500851.html
2025-08-11 11:30:00,"Barrick Mining, Rheinmetall, Novartis: Global Stocks in Focus",https://finance.yahoo.com/m/cc5d5031-fbac-3968-8bfc-af76a0c62329/barrick-mining%2C-rheinmetall%2C.html
2025-08-11 07:16:00,"Rheinmetall, Ørsted, Novartis: Global Stocks in Focus",https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-08-11-2025/card/rheinmetall-rsted-novartis-global-stocks-in-focus-xT24g6cP1t8OAFMBsZhx?mod=wsj_FV
2025-08-11 01:20:00,Novartis announces both ianalumab Phase III clinical trials met primary endpoint in patients with Sjögren's disease,https://finance.yahoo.com/news/novartis-announces-both-ianalumab-phase-052000913.html
2025-08-11 01:20:00,Novartis announces both ianalumab Phase III clinical trials met primary endpoint in patients with Sjogren's disease,https://finviz.com/news/134582/novartis-announces-both-ianalumab-phase-iii-clinical-trials-met-primary-endpoint-in-patients-with-sjogrens-disease
2025-08-06 16:53:00,Avidity Biosciences Rockets As Novartis Reportedly Mulls A Takeover Deal,https://finance.yahoo.com/m/28cc29cc-7ef3-3381-8a2c-e037b9d42546/avidity-biosciences-rockets.html
2025-08-06 12:00:00,Avidity Biosciences stock soars on Novartis takeover approach report,https://finance.yahoo.com/news/avidity-biosciences-stock-soars-novartis-160032608.html
2025-08-01 11:49:00,"ALNY Q2 Earnings Top Estimates on Higher Amvuttra Revenues, Stock Up",https://finviz.com/news/124991/alny-q2-earnings-top-estimates-on-higher-amvuttra-revenues-stock-up
