datetime,headline,url,sentiment
Aug-15-25 Today 10:30AM,BC-Most Active Stocks,https://finance.yahoo.com/news/bc-most-active-stocks-143017539.html,Neutral
2025-08-15 09:53:00,Insatiable Demand For AI Data Centers  And Space  Fuels This Stock,https://finance.yahoo.com/m/46e7e7a2-2f00-34fb-8e0e-2a12bec244c6/insatiable-demand-for-ai-data.html,Negative
2025-08-15 09:07:00,Palantir Expands SOMPO Partnership in Multi-Year Deal,https://finance.yahoo.com/news/palantir-expands-sompo-partnership-multi-130727543.html,Positive
2025-08-15 08:30:00,ProShares Launches First ETF to Target 2x Daily Returns of Nasdaq-100 Top 30 Index,https://finance.yahoo.com/news/proshares-launches-first-etf-target-123000712.html,Neutral
2025-08-15 05:45:00,Palantir Looks Like a Great Stock. Or Does It?,https://finviz.com/news/141654/palantir-looks-like-a-great-stock-or-does-it,Positive
2025-08-15 05:30:00,AI Exacerbates Tech Divide With Smaller Stocks Languishing,https://finance.yahoo.com/news/ai-exacerbates-tech-divide-smaller-093000902.html,Negative
2025-08-15 04:35:00,2 No-Brainer Artificial Intelligence (AI) Stocks to Buy Right Now,https://finviz.com/news/141576/2-no-brainer-artificial-intelligence-ai-stocks-to-buy-right-now,Neutral
2025-08-15 04:30:00,Why Investors Are Excited About Palantir Stock,https://finviz.com/news/141577/why-investors-are-excited-about-palantir-stock,Positive
2025-08-15 03:06:00,"Nvidia, Palantir, and AMD Have a Nearly $13 Billion Warning for Wall Street -- but Are You Paying Attention?",https://finviz.com/news/141515/nvidia-palantir-and-amd-have-a-nearly-13-billion-warning-for-wall-street-but-are-you-paying-attention,Neutral
2025-08-15 01:30:00,"As Tech Stocks Rally, Risk Rises. Why Energy and Healthcare Could Be Options.",https://www.barrons.com/articles/tech-energy-healthcare-stocks-markets-cf964dda?mod=bar_FV,Neutral
2025-08-15 00:43:00,1 Mooning  Stock to Target This Week and 2 Facing Headwinds,https://finviz.com/news/141584/1-mooning-stock-to-target-this-week-and-2-facing-headwinds,Negative
2025-08-14 18:33:00,How Did Peter Thiel-Backed Crypto Exchange Bullish's IPO Go?,https://finviz.com/news/141390/how-did-peter-thiel-backed-crypto-exchange-bullishs-ipo-go,Neutral
2025-08-14 18:10:00,Palantir (PLTR) Strengthens Ties With SOMPO in Multi-Year AI Partnership,https://finviz.com/news/141365/palantir-pltr-strengthens-ties-with-sompo-in-multi-year-ai-partnership,Positive
2025-08-14 17:20:00,Guidance Watch: 2 Companies Bullishly Raising Forecasts,https://finviz.com/news/141382/guidance-watch-2-companies-bullishly-raising-forecasts,Positive
2025-08-14 16:06:00,Insatiable Demand For AI Data Centers - And Space - Fuels This Stock,https://www.investors.com/research/ibd-stock-analysis/micron-stock-ai-data-centers-space-exploration?mod=IBD_FV,Negative
2025-08-14 15:00:00,"This Monster Artificial Intelligence (AI) Stock Has Gained 130% Since Marjorie Taylor Greene Loaded Up on It Back in April, and Dan Ives Thinks It Could Keep Soaring",https://finviz.com/news/141111/this-monster-artificial-intelligence-ai-stock-has-gained-130-since-marjorie-taylor-greene-loaded-up-on-it-back-in-april-and-dan-ives-thinks-it-could-keep-soaring,Positive
2025-08-14 13:22:00,"Software Stocks Feel the Blues, But Some Look Set To Rebound",https://www.barrons.com/articles/software-stocks-feel-the-blues-gitlab-fortinet-circle-applovin-8a13b252?mod=bar_FV,Positive
2025-08-14 12:18:00,"Palantir CEO Alex Karp Sees More Gains Ahead With America-Focused Growth Strategy, Calls U.S. The Leader of the Free World",https://finance.yahoo.com/m/2ae12433-67ce-31e7-8ed7-8851c9d6ce81/palantir-ceo-alex-karp-sees.html,Positive
2025-08-14 11:47:00,2 Stocks That Can Double Again in 2025,https://finviz.com/news/140929/2-stocks-that-can-double-again-in-2025,Neutral
2025-08-14 10:08:00,Palantir's Soaring Valuation-Justified or Overhyped?,https://finviz.com/news/140761/palantirs-soaring-valuation-justified-or-overhyped,Positive
2025-08-14 10:00:00,Cathie Wood's ARK ETFs See Record Investor Rush,https://finviz.com/news/140888/cathie-woods-ark-etfs-see-record-investor-rush,Positive
2025-08-14 07:30:00,Is Palantir the Safest AI Stock to Buy in a Volatile Market?,https://finance.yahoo.com/m/1f11cf6d-aa0c-3ec8-b64c-eaf03ccb07e1/is-palantir-the-safest-ai.html,Positive
2025-08-14 07:08:00,"Largest U.S. Pension Buys Up Coinbase, Palantir, Nvidia, and Robinhood Stock",https://finance.yahoo.com/m/b7eba984-3d1d-3273-99ad-4f1d6fe58283/largest-u.s.-pension-buys-up.html,Neutral
2025-08-14 03:51:00,Palantir Is Now the 19th Largest Public Company. Is This House of Cards About to Come Crashing Down?,https://finviz.com/news/140101/palantir-is-now-the-19th-largest-public-company-is-this-house-of-cards-about-to-come-crashing-down,Neutral
2025-08-13 19:28:00,'Incremental' Growth May Not be Enough in Tech: Crawford,https://finance.yahoo.com/video/incremental-growth-may-not-enough-232821731.html,Negative
2025-08-13 16:26:00,Stonegate Capital Partners Updates Coverage On Surf Air Mobility Inc. (SRFM) 2025 Q2,https://finance.yahoo.com/news/stonegate-capital-partners-updates-coverage-202600120.html,Neutral
2025-08-13 16:03:00,Dutch Bros: Two Fresh Buy Points Percolating For This Fizzy Growth Stock,https://www.investors.com/research/breakout-stocks-technical-analysis/dutch-bros-stock-percolating-fresh-breakout?mod=IBD_FV,Positive
2025-08-13 14:45:00,Anthropic Offers Claude To U.S. Government For $1,https://finance.yahoo.com/news/anthropic-offers-claude-u-government-184557870.html,Neutral
2025-08-13 14:44:00,"Largest U.S. Pension Buys Up Coinbase, Palantir, Nvidia, and Robinhood Stock",https://www.barrons.com/articles/coinbase-stock-palantir-nvidia-robinhood-35a67deb?mod=bar_FV,Neutral
2025-08-13 14:39:00,Investors Playing More Defense Even as Stocks Climb to New Highs,https://finance.yahoo.com/m/214604ac-59bd-3979-8645-c4dcca22c64c/investors-playing-more.html,Positive
2025-08-13 13:43:00,Prediction: Buying Palantir Stock Today Could Set You Up for Life,https://finviz.com/news/139641/prediction-buying-palantir-stock-today-could-set-you-up-for-life,Neutral
2025-08-13 13:04:00,Will BigBear.ai be Able to Offset Army Contract Losses With New Wins?,https://finviz.com/news/139643/will-bigbearai-be-able-to-offset-army-contract-losses-with-new-wins,Positive
2025-08-13 11:30:00,The Top Performing S&P 500 Stocks of 2025: Can Momentum Sustain?,https://finviz.com/news/139469/the-top-performing-sp-500-stocks-of-2025-can-momentum-sustain,Positive
2025-08-13 10:54:00,Palantir Nears Record High As Trump's $175 Billion Missile Defense Plan Opens Door To Massive SHIELD Contracts,https://finance.yahoo.com/news/palantir-nears-record-high-trumps-145459760.html,Positive
2025-08-13 10:30:00,BC-Most Active Stocks,https://finance.yahoo.com/news/bc-most-active-stocks-143016574.html,Neutral
2025-08-13 09:30:00,MORE INNOVATION FROM LEVERAGE SHARES BY THEMES  Further expanding its leveraged products with its Capped Accelerated Series. These ETFs will offer investors:,https://finance.yahoo.com/news/more-innovation-leverage-shares-themes-133000560.html,Positive
2025-08-13 08:29:00,AppLovin and Carter have been highlighted as Zacks Bull and Bear of the Day,https://finviz.com/news/139152/applovin-and-carter-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,Neutral
2025-08-13 08:00:00,Here's The Most You Could Have Made On A Single Stock This Year,https://finance.yahoo.com/m/0cc285de-5462-3b57-b4e6-f37f23e39b66/here%27s-the-most-you-could.html,Neutral
2025-08-13 07:30:00,Peter Thiel-Backed Bullish Is About to IPO. Should You Buy BLSH Stock?,https://finance.yahoo.com/m/9bf70906-0cc5-3ab4-b818-89e1a5165378/peter-thiel-backed-bullish-is.html,Neutral
2025-08-13 07:11:00,This Peter Thiel-Backed Crypto Stock Has Soared 200%. Why It's the Next MicroStrategy.,https://www.barrons.com/articles/crypto-stock-ethereum-180-life-sciences-thiel-dbd04049?mod=bar_FV,Positive
2025-08-13 07:00:00,Palantir Technologies Stock: Will It Hit a $500 Billion Valuation This Year?,https://finviz.com/news/138792/palantir-technologies-stock-will-it-hit-a-500-billion-valuation-this-year,Neutral
