datetime,headline,url
2025-08-13 16:24:00,Why Venture Global Rallied Today,https://finviz.com/news/139905/why-venture-global-rallied-today
2025-08-13 12:45:00,Venture Global Scored a Win Over Shell. The Stock Gets a Bump.,https://finance.yahoo.com/m/27a0347b-d3d9-3be5-b47e-a4ac94e174f3/venture-global-scored-a-win.html
2025-08-13 12:34:00,"HSBC Downgrades Shell (NYSE:SHEL) to Hold, Flags Rising Debt and Weaker Trading Outlook",https://finviz.com/news/139481/hsbc-downgrades-shell-nyse-shel-to-hold-flags-rising-debt-and-weaker-trading-outlook
2025-08-13 12:24:00,Transaction in Own Shares,https://finviz.com/news/139456/transaction-in-own-shares
2025-08-12 19:58:00,Scrappy Gas Billionaires Win Major Arbitration Case Against Shell,https://finance.yahoo.com/m/38ecb72f-8751-3dfd-bb0c-81443b740711/scrappy-gas-billionaires-win.html
2025-08-12 15:00:00,Big Oil Boosts Exploration as Energy Transition Sputters,https://finance.yahoo.com/news/big-oil-boosts-exploration-energy-190000615.html
2025-08-12 13:09:00,Transaction in Own Shares,https://finviz.com/news/137155/transaction-in-own-shares
2025-08-11 12:47:00,Transaction in Own Shares,https://finviz.com/news/135427/transaction-in-own-shares
2025-08-08 12:26:00,Transaction in Own Shares,https://finviz.com/news/133882/transaction-in-own-shares
2025-08-08 10:00:00,Big Oil Bails on Colombias Offshore Oil and Gas Provinces,https://finance.yahoo.com/news/big-oil-bails-colombia-offshore-140000062.html
2025-08-07 18:00:00,U.S. Majors Pump Profits While BP and Shell Stall,https://finance.yahoo.com/news/u-majors-pump-profits-while-220000543.html
2025-08-07 12:37:00,Transaction in Own Shares,https://finviz.com/news/132243/transaction-in-own-shares
2025-08-07 08:07:00,"Post Q2 Earnings, Is Chevron a Name to Watch or One to Chase?",https://finviz.com/news/131760/post-q2-earnings-is-chevron-a-name-to-watch-or-one-to-chase
2025-08-06 20:00:00,Trump's Tariff Blitz on India Threatens 3.5 Million bpd in Global Oil Supply,https://finance.yahoo.com/news/trumps-tariff-blitz-india-threatens-000000969.html
2025-08-06 12:30:00,Transaction in Own Shares,https://finviz.com/news/130262/transaction-in-own-shares
2025-08-06 07:57:00,Shell Q2 Earnings Beat Even as Production & Oil Prices Fall,https://finviz.com/news/129771/shell-q2-earnings-beat-even-as-production-oil-prices-fall
2025-08-05 12:49:00,BP Plans Sweeping Business Review as It Vows to Do Better,https://finance.yahoo.com/news/bp-chair-review-business-pressure-062557512.html
2025-08-05 12:42:00,Transaction in Own Shares,https://finviz.com/news/128516/transaction-in-own-shares
2025-08-04 17:00:00,Big Oils Trading Arms Struggle to Navigate Trump-Era Volatility,https://finance.yahoo.com/news/big-oil-trading-arms-struggle-210000085.html
2025-08-04 13:21:00,Transaction in Own Shares,https://finviz.com/news/126764/transaction-in-own-shares
2025-08-01 12:57:00,Transaction in Own Shares,https://finviz.com/news/124998/transaction-in-own-shares
2025-08-01 12:00:00,Oil Falls Below $70 as Sentiment Sours,https://finance.yahoo.com/news/oil-falls-below-70-sentiment-160000498.html
2025-08-01 03:21:00,Shell PLC (SHEL) Q2 2025 Earnings Call Highlights: Strong Marketing Performance and Strategic ...,https://finance.yahoo.com/news/shell-plc-shel-q2-2025-072107735.html
2025-07-31 15:45:00,Shell Keeps Buyback Despite Profit Drop,https://finance.yahoo.com/news/shell-keeps-buyback-despite-profit-194525227.html
2025-07-31 15:21:00,"Oil Hits Pause as Traders Parse Trumps Russia Threats, US Data",https://finance.yahoo.com/news/oil-holds-near-six-week-005030535.html
2025-07-31 14:36:00,Transaction in Own Shares,https://finviz.com/news/123446/transaction-in-own-shares
2025-07-31 12:36:00,Voting Rights and Capital,https://finviz.com/news/123191/voting-rights-and-capital
2025-07-31 10:40:00,Shell Posts a Steep Drop in Earnings. Why Weak Oil Prices Arent Rattling Investors.,https://finance.yahoo.com/m/1f8c6a84-54ae-3920-bbef-cd945ad7c971/shell-posts-a-steep-drop-in.html
2025-07-31 10:36:00,Why Oil Traders Are Facing Fading Volatility Thanks to Trump Tariffs,https://finance.yahoo.com/news/why-oil-traders-facing-fading-143657001.html
2025-07-31 07:32:00,"Global Earnings Spotlight: Bud Brewer, Shell, Samsung",https://finance.yahoo.com/m/c4ac45f3-6302-3e45-8811-46c145f761be/global-earnings-spotlight%3A.html
2025-07-31 07:00:00,Shell Defies Expectations With Strong Q2 Earnings,https://finance.yahoo.com/news/shell-defies-expectations-strong-q2-110000182.html
2025-07-31 06:27:00,Shell Stock Rises After Earnings. Why Weak Oil Prices Aren't Rattling Investors.,https://www.barrons.com/articles/shell-earnings-stock-price-c2120c83?mod=bar_FV
2025-07-31 02:03:00,Shell announces commencement of a share buyback programme,https://finviz.com/news/122125/shell-announces-commencement-of-a-share-buyback-programme
2025-07-31 02:02:00,Shell plc Second Quarter 2025 Interim Dividend,https://finviz.com/news/122124/shell-plc-second-quarter-2025-interim-dividend
2025-07-31 02:01:00,Shell plc publishes second quarter 2025 press release,https://finviz.com/news/122121/shell-plc-publishes-second-quarter-2025-press-release
2025-07-31 02:00:00,Shell Plc 2nd QUARTER 2025 HALF YEAR UNAUDITED RESULTS,https://finviz.com/news/122122/shell-plc-2nd-quarter-2025-half-year-unaudited-results
2025-07-29 18:15:00,Why the Market Dipped But Shell (SHEL) Gained Today,https://finviz.com/news/119930/why-the-market-dipped-but-shell-shel-gained-today
2025-07-29 14:33:00,Is Shell plc (SHEL) a Good Option for Investors Looking to Invest in Crude Oil Stocks?,https://finviz.com/news/119479/is-shell-plc-shel-a-good-option-for-investors-looking-to-invest-in-crude-oil-stocks
2025-07-28 08:38:00,Shell Q2 Earnings Preview: Can Refining Margins Save the Day?,https://finviz.com/news/117181/shell-q2-earnings-preview-can-refining-margins-save-the-day
2025-07-25 12:05:00,Transaction in Own Shares,https://finviz.com/news/115831/transaction-in-own-shares
2025-07-25 03:57:00,"Zacks Industry Outlook Highlights Exxon Mobil, Chevron and Shell",https://finviz.com/news/115153/zacks-industry-outlook-highlights-exxon-mobil-chevron-and-shell
2025-07-24 20:00:00,Green Hydrogen Boom Fizzles as Projects Collapse Worldwide,https://finance.yahoo.com/news/green-hydrogen-boom-fizzles-projects-000000087.html
2025-07-24 12:11:00,Transaction in Own Shares,https://finviz.com/news/114351/transaction-in-own-shares
2025-07-24 11:02:00,3 Integrated Energy Stocks to Gain Despite Industry Vulnerability,https://finviz.com/news/114341/3-integrated-energy-stocks-to-gain-despite-industry-vulnerability
2025-07-23 12:01:00,Transaction in Own Shares,https://finviz.com/news/112576/transaction-in-own-shares
2025-07-23 11:30:00,Oil Price Swings Challenge Big Oil Trading Profits,https://finance.yahoo.com/news/oil-price-swings-challenge-big-153000709.html
2025-07-23 07:39:00,Chevron vs. Shell in Gulf of America: Who's Got the Edge?,https://finviz.com/news/111977/chevron-vs-shell-in-gulf-of-america-whos-got-the-edge
2025-07-23 05:00:00,Wild Quarter for Crude Puts Big Oil Trading Desks in Spotlight,https://finance.yahoo.com/news/wild-quarter-crude-puts-big-090000412.html
2025-07-22 18:15:00,Shell (SHEL) Rises Higher Than Market: Key Facts,https://finviz.com/news/111530/shell-shel-rises-higher-than-market-key-facts
2025-07-22 12:40:00,Transaction in Own Shares,https://finviz.com/news/111092/transaction-in-own-shares
2025-07-21 20:00:00,Global Upstream M&A Drops 34% as U.S. Activity Slumps,https://finance.yahoo.com/news/global-upstream-m-drops-34-000000821.html
2025-07-21 12:09:00,Transaction in Own Shares,https://finviz.com/news/109553/transaction-in-own-shares
2025-07-21 11:07:00,This Oil and Gas Stock is a Favorite Among Passive Investors,https://finviz.com/news/109492/this-oil-and-gas-stock-is-a-favorite-among-passive-investors
2025-07-21 08:50:00,"New BP Chairman's Record Shows How to Make Oil Major More Like Exxon, Chevron",https://www.barrons.com/articles/bp-oil-exxon-chevron-shell-6380cf90?mod=bar_FV
2025-07-18 12:22:00,Transaction in Own Shares,https://finviz.com/news/108050/transaction-in-own-shares
2025-07-18 09:43:00,"The Zacks Analyst Blog Highlights Alphabet, Oracle, Shell, Fossil and ImmuCell",https://finviz.com/news/107929/the-zacks-analyst-blog-highlights-alphabet-oracle-shell-fossil-and-immucell
2025-07-17 23:46:00,"Top Research Reports for Alphabet, Oracle & Shell",https://finviz.com/news/107368/top-research-reports-for-alphabet-oracle-shell
2025-07-17 12:02:00,Transaction in Own Shares,https://finviz.com/news/106879/transaction-in-own-shares
2025-07-16 12:43:00,Transaction in Own Shares,https://finviz.com/news/105641/transaction-in-own-shares
2025-07-16 10:29:00,Ferrari and Gilat Satellite Networks have been highlighted as Zacks Bull and Bear of the Day,https://finviz.com/news/105532/ferrari-and-gilat-satellite-networks-have-been-highlighted-as-zacks-bull-and-bear-of-the-day
2025-07-16 09:24:00,"The Zacks Analyst Blog Highlights ExxonMobil, Shell and BP",https://finviz.com/news/105324/the-zacks-analyst-blog-highlights-exxonmobil-shell-and-bp
2025-07-15 13:25:00,"National Fuel Gas Gets Rare Double Upgrade. Buy the Stock, Analyst Says.",https://finance.yahoo.com/m/b84b47a0-8a2d-35fc-9067-63e2a7a7b445/national-fuel-gas-gets-rare.html
2025-07-15 12:05:00,Transaction in Own Shares,https://finviz.com/news/104285/transaction-in-own-shares
2025-07-15 10:01:00,Big Oil's Q2 Outlook: Downstream Gains and Upstream Pains,https://finviz.com/news/104225/big-oils-q2-outlook-downstream-gains-and-upstream-pains
2025-07-14 18:15:00,Shell (SHEL) Stock Drops Despite Market Gains: Important Facts to Note,https://finviz.com/news/103384/shell-shel-stock-drops-despite-market-gains-important-facts-to-note
2025-07-14 12:04:00,Transaction in Own Shares,https://finviz.com/news/102988/transaction-in-own-shares
2025-07-14 08:23:00,Shell Is Cleared to Drill Deepwater Wells Off South African West Coast,https://finviz.com/news/102667/shell-is-cleared-to-drill-deepwater-wells-off-south-african-west-coast
2025-07-11 12:08:00,Transaction in Own Shares,https://finviz.com/news/101624/transaction-in-own-shares
2025-07-11 12:04:00,BP's Q2 Results to Be Hit by Low Prices Despite Higher Production,https://finviz.com/news/101722/bps-q2-results-to-be-hit-by-low-prices-despite-higher-production
2025-07-11 10:45:00,"BP Says Low Oil Prices Are Hurting. Why the Stock Is Doing Better Than Exxon, Chevron.",https://finance.yahoo.com/m/05d23b29-a073-36d0-8e0b-296191d7f98b/bp-says-low-oil-prices-are.html
2025-07-11 08:18:00,"BP Says Low Oil Prices Are Hurting. Why the Stock Is Rising as Exxon, Chevron Fall.",https://www.barrons.com/articles/bp-stock-exxon-chevron-oil-prices-earnings-7ec114fe?mod=bar_FV
2025-07-11 07:35:00,Chevron's Low-Carbon Buildout Deserves a Closer Look Now,https://finviz.com/news/101211/chevrons-low-carbon-buildout-deserves-a-closer-look-now
2025-07-10 12:02:00,Transaction in Own Shares,https://finviz.com/news/100526/transaction-in-own-shares
2025-07-10 07:48:00,Chevron's Global Revamp Aims to Stay Competitive & Save $3B by 2026,https://finviz.com/news/100097/chevrons-global-revamp-aims-to-stay-competitive-save-3b-by-2026
2025-07-09 19:00:00,Energy Sector Faces 26% Earnings Drop as Q2 Season Begins,https://finance.yahoo.com/news/energy-sector-faces-26-earnings-230000064.html
