datetime,headline,url,sentiment
2025-08-12 11:55:00,"S&P 500 Eyes Close Above 6,400; Nasdaq Nabs Another Record",https://finviz.com/news/137019/sp-500-eyes-close-above-6400-nasdaq-nabs-another-record,Positive
2025-08-13 11:24:00,Can UnitedHealth Really Fight Cost Headaches With $3.3B Amedisys Pill?,https://finviz.com/news/137085/can-unitedhealth-really-fight-cost-headaches-with-33b-amedisys-pill,Positive
2025-08-13 10:54:00,Dow Poised to Break CPI Day Losing Streak,https://www.wsj.com/livecoverage/cpi-report-today-inflation-stock-market-08-12-2025/card/dow-poised-to-break-cpi-day-losing-streak-UUfNalL3pveEbcWKNVJr?mod=wsj_FV,Positive
2025-08-13 09:29:00,What Are Wall Street Analysts' Target Price for UnitedHealth Stock?,https://finance.yahoo.com/m/3c911cfd-a83b-3358-a9ab-3573cdc8b3eb/what-are-wall-street.html,Neutral
2025-08-13 07:50:00,Matrix Asset Advisors Exited its Position in UnitedHealth Group (UNH). Here's Why,https://finviz.com/news/136512/matrix-asset-advisors-exited-its-position-in-unitedhealth-group-unh-heres-why,Neutral
2025-08-11 16:51:00,"Stock Market Today: Dow, Nasdaq Fall, Set Aside Trump-China Tariff Move; Tesla Clears Entry But This AI Stock Craters",https://finance.yahoo.com/m/e2020f85-4acd-3b1e-ba61-a0a1e19394be/stock-market-today%3A-dow%2C.html,Neutral
2025-08-11 13:37:00,"Stock Market Today: Dow Swoons But Nasdaq Shines As Tesla Clears Entry; AMC Stock Surges, But Consider This (Live Coverage)",https://finance.yahoo.com/m/e2020f85-4acd-3b1e-ba61-a0a1e19394be/stock-market-today%3A-dow.html,Positive
2025-08-11 12:23:00,When a Healthcare Giant Gets Sick: Elevance Health's 20% YTD Decline,https://finviz.com/news/135546/when-a-healthcare-giant-gets-sick-elevance-healths-20-ytd-decline,Negative
2025-08-11 12:12:00,"Stock Market Today: Dow Dips But Nvidia Gains After Trump-China Deal; Tesla Clears Entry, This AI Stock Pops (Live Coverage)",https://finance.yahoo.com/m/e2020f85-4acd-3b1e-ba61-a0a1e19394be/stock-market-today%3A-dow-dips.html,Positive
2025-08-11 09:48:00,"Stock Market Today: Dow Rises But Nvidia, AMD Slip On AI Chip News (Live Coverage)",https://finance.yahoo.com/m/e2020f85-4acd-3b1e-ba61-a0a1e19394be/stock-market-today%3A-dow-rises.html,Neutral
2025-08-11 09:09:00,"Stock Market Today: Dow Jones Futures Rise But Nvidia, AMD Fall On AI Chip News (Live Coverage)",https://finance.yahoo.com/m/e2020f85-4acd-3b1e-ba61-a0a1e19394be/stock-market-today%3A-dow-jones.html,Neutral
2025-08-11 08:47:00,4 of the Most Undervalued Stocks in the Market Right Now,https://finviz.com/news/135033/4-of-the-most-undervalued-stocks-in-the-market-right-now,Positive
2025-08-11 07:52:00,UnitedHealths $3.3bn Amedisys deal faces strict divestiture terms,https://finance.yahoo.com/m/8ab220d4-8701-30a2-9d76-ec92a27f8b7b/unitedhealth%E2%80%99s-%243.3bn.html,Negative
2025-08-11 07:46:00,J.P. Morgan Remains a Buy on UnitedHealth Group (UNH) With a $310 PT,https://finviz.com/news/134804/jp-morgan-remains-a-buy-on-unitedhealth-group-unh-with-a-310-pt,Positive
2025-08-09 23:59:00,"Wells Fargo Sticks with Overweight on UnitedHealth (UNH), Trims Target to $267",https://finviz.com/news/134468/wells-fargo-sticks-with-overweight-on-unitedhealth-unh-trims-target-to-267,Positive
2025-08-08 13:17:00,The Stock Market Gains Despite Noisy Week. Call It Complacency-or the Right Thing to Do.,https://www.barrons.com/articles/stock-market-gains-earnings-rates-a3c37d60?mod=bar_FV,Negative
2025-08-08 07:51:00,"UnitedHealth, Amedisys merger appears set to close post-DOJ settlement",https://finance.yahoo.com/m/b6f3e96a-b8bc-3263-a505-97dd795c0ddb/unitedhealth%2C-amedisys-merger.html,Neutral
2025-08-08 05:23:00,Democrat senators probe UnitedHealth over nursing home care denials,https://finance.yahoo.com/m/2f803db9-183e-3ece-b93e-1758f904aeee/democrat-senators-probe.html,Neutral
2025-08-07 23:47:00,UnitedHealth Group (UNH) Bolsters Management Team with Healthcare Industry Expert,https://finviz.com/news/133210/unitedhealth-group-unh-bolsters-management-team-with-healthcare-industry-expert,Positive
2025-08-07 15:00:00,"Is CVS a Smart Buy Now on Strong Q2, Low Valuation & Long-Term Upside?",https://finviz.com/news/132527/is-cvs-a-smart-buy-now-on-strong-q2-low-valuation-long-term-upside,Positive
2025-08-07 13:31:00,Healthcare Stocks Have Been Beaten Up. The Case for Buying Now.,https://finance.yahoo.com/m/4a683b22-5230-3e3c-81f6-5dd91fd16c57/healthcare-stocks-have-been.html,Positive
2025-08-07 13:02:00,One Big Beautiful Bill Act: A Boon or Bane for Centene?,https://finviz.com/news/132383/one-big-beautiful-bill-act-a-boon-or-bane-for-centene,Negative
2025-08-07 10:54:00,Suddenly the Dow Is Down. Blame Healthcare Stocks.,https://finance.yahoo.com/m/12eef28e-52c2-343d-8a00-06e19607dc3b/suddenly-the-dow-is-down..html,Negative
2025-08-07 10:51:00,UnitedHealth Crashing After Q2 Shock: Should You Panic or Pounce?,https://finviz.com/news/132202/unitedhealth-crashing-after-q2-shock-should-you-panic-or-pounce,Negative
2025-08-07 09:00:00,UnitedHealth Group Incorporated (UNH) Is a Trending Stock: Facts to Know Before Betting on It,https://finviz.com/news/131889/unitedhealth-group-incorporated-unh-is-a-trending-stock-facts-to-know-before-betting-on-it,Neutral
2025-08-07 07:25:00,UnitedHealth and Amedisys reach settlement with DOJ over $3.3B merger,https://finance.yahoo.com/m/93977da2-fa05-314e-a120-073d4f65bb7f/unitedhealth-and-amedisys.html,Neutral
2025-08-07 06:41:00,Two US Senators probe UnitedHealth over alleged nursing home incentives,https://finance.yahoo.com/news/two-us-senators-probe-unitedhealth-104152133.html,Neutral
2025-08-07 06:03:00,Analysis-Struggling US healthcare stocks endure rough 2025 but draw some bargain hunters,https://finance.yahoo.com/news/analysis-struggling-us-healthcare-stocks-100340329.html,Negative
2025-08-07 05:01:00,Medicare Advantage plans are scaling back,https://finance.yahoo.com/news/medicare-advantage-plans-are-scaling-back-090008599.html,Positive
2025-08-07 04:40:00,"The Best Stocks to Invest $1,000 In Right Now",https://finviz.com/news/131277/the-best-stocks-to-invest-1000-in-right-now,Positive
2025-08-06 18:05:00,"If You'd Invested $1,000 in UnitedHealth Group 3 Years Ago, Here's How Much You'd Have Today",https://finviz.com/news/130784/if-youd-invested-1000-in-unitedhealth-group-3-years-ago-heres-how-much-youd-have-today,Neutral
2025-08-06 12:00:00,"July earnings update: Boeing, UnitedHealth Group, Starbucks, Coca-Cola and BlackRock",https://finance.yahoo.com/m/979fbac7-4673-327c-91ff-9b9024f58279/july-earnings-update%3A-boeing%2C.html,Neutral
2025-08-06 09:11:00,"A Rough Day for ""Dividend Knights""",https://finviz.com/news/129864/a-rough-day-for-dividend-knights,Neutral
2025-08-06 06:42:00,The great Medicare Advantage contraction appears set to continue,https://finance.yahoo.com/m/6026121f-ea17-32b6-951f-3b2bc982a438/the-great-medicare-advantage.html,Positive
2025-08-06 04:30:00,Healthcare Stocks Have Been Beaten Up. The Case for Buying Now.,https://www.barrons.com/articles/healthcare-stocks-case-buying-now-1e2c26d0?mod=bar_FV,Positive
2025-08-05 13:36:00,UnitedHealth Group Just Released More Bad News. Should You Avoid the Stock?,https://finviz.com/news/128660/unitedhealth-group-just-released-more-bad-news-should-you-avoid-the-stock,Negative
2025-08-05 13:31:00,Dow Hovers Near Breakeven. Most of the Market Is Struggling.,https://finance.yahoo.com/m/f2dfdd2b-56a9-3000-8725-2e5eabc41f7e/dow-hovers-near-breakeven..html,Negative
2025-08-05 13:08:00,The Dow Is Back to Breakeven. Most of the Market Is Struggling.,https://finance.yahoo.com/m/f2dfdd2b-56a9-3000-8725-2e5eabc41f7e/the-dow-is-back-to-breakeven..html,Negative
2025-08-05 11:21:00,"Retail investors stepped in to buy Friday's dip, IBKR says",https://www.marketwatch.com/livecoverage/stock-market-today-dow-s-p500-nasdaq-extend-rebound-as-bond-yields-steady-palantir-earnings/card/retail-investors-stepped-in-to-buy-friday-s-dip-ibkr-says-EyEwsiLpxvQQl4IWMrq9?mod=mw_FV,Neutral
2025-08-05 07:18:00,Here's Why UnitedHealth Group (UNH) Sold Off Sharply in Q2,https://finviz.com/news/127693/heres-why-unitedhealth-group-unh-sold-off-sharply-in-q2,Negative
2025-08-05 07:00:00,Buying UnitedHealth Today Is Like Buying Meta in 2022,https://finviz.com/news/127717/buying-unitedhealth-today-is-like-buying-meta-in-2022,Neutral
2025-08-05 05:30:00,The Medicare Pullback Is Here,https://www.wsj.com/health/healthcare/the-medicare-pullback-is-here-e6ab37da?mod=wsj_FV,Neutral
2025-08-05 04:39:00,Incoming UnitedHealth CFO steps down from Centenes board,https://finance.yahoo.com/m/e007a4dc-62f9-3871-b114-64d703546eb4/incoming-unitedhealth-cfo.html,Neutral
2025-08-04 07:36:00,UnitedHealth Group names new CFO,https://finance.yahoo.com/m/56d2f7d8-0077-3df0-9903-386b1ec9b509/unitedhealth-group-names-new.html,Neutral
2025-08-04 06:47:00,"As UnitedHealths troubles mount, new CFO faces challenge to restore confidence",https://finance.yahoo.com/news/unitedhealth-troubles-mount-cfo-faces-104719778.html,Negative
2025-08-02 00:16:00,Looking for Stability? UnitedHealth Group (UNH) Incorporated is a Timeless Buy and Hold Stock,https://finviz.com/news/125344/looking-for-stability-unitedhealth-group-unh-incorporated-is-a-timeless-buy-and-hold-stock,Positive
2025-08-01 18:15:00,"UnitedHealth, Apple, Palo Alto Networks: Stocks That Moved on the Weeks News",https://finance.yahoo.com/m/3eb78b43-cdce-35cf-b07b-d50e868c138a/unitedhealth%2C-apple%2C-palo.html,Neutral
2025-08-01 17:04:00,"The Score: Meta Platforms, Whirlpool, Novo Nordisk and More Stocks That Defined the Week",https://www.wsj.com/finance/stocks/the-score-meta-platforms-whirlpool-novo-nordisk-and-more-stocks-that-defined-the-week-6c7b8089?mod=wsj_FV,Neutral
2025-08-01 14:21:00,"Tariffs, Earnings, Economic Data, and More This Past Week",https://finviz.com/news/125135/tariffs-earnings-economic-data-and-more-this-past-week,Neutral
2025-08-01 12:22:00,"Big Banks slump, UnitedHealth's new CFO, Eli Lilly & Novo rise",https://finance.yahoo.com/video/big-banks-slump-unitedhealths-cfo-162246389.html,Negative
2025-08-01 09:58:00,UnitedHealth Group appoints new CFO in wake of top leadership change,https://finance.yahoo.com/news/unitedhealth-group-appoints-new-cfo-in-wake-of-top-leadership-change-135839801.html,Neutral
2025-08-01 09:38:00,"Stock Market Today: Dow Tumbles On New Trump Tariffs, Weak Jobs Report; Amazon, Nvidia Sell Off (Live Coverage)",https://finance.yahoo.com/m/30cb3d38-e2a4-3a91-beb1-db4d1cc801b9/stock-market-today%3A-dow.html,Negative
2025-08-01 06:51:00,UnitedHealth replaces CFO in another leadership shakeup,https://finance.yahoo.com/m/96b88d9b-337f-3aec-b6df-8f4b93cae032/unitedhealth-replaces-cfo-in.html,Neutral
2025-08-01 06:00:00,CFOs On the Move: Week ending Aug. 1,https://finance.yahoo.com/m/6a1faf78-56ce-381b-8a1b-5d8fc609fe4a/cfos-on-the-move%3A-week-ending.html,Neutral
2025-08-01 00:43:00,1 Safe-and-Steady Stock with Exciting Potential and 2 That Underwhelm,https://finviz.com/news/124524/1-safe-and-steady-stock-with-exciting-potential-and-2-that-underwhelm,Positive
2025-07-31 23:32:00,Oppenheimer Reduces PT on UnitedHealth Group (UNH) Stock,https://finviz.com/news/124109/oppenheimer-reduces-pt-on-unitedhealth-group-unh-stock,Neutral
2025-07-31 17:56:00,UnitedHealth Group Replaces CFO John Rex,https://www.wsj.com/business/c-suite/unitedhealth-group-replaces-cfo-john-rex-7bb2680e?mod=wsj_FV,Neutral
2025-07-31 17:14:00,UnitedHealth replaces CFO Rex in another management shake-up,https://finance.yahoo.com/news/unitedhealth-names-wayne-deveydt-cfo-211439511.html,Neutral
2025-07-31 17:06:00,UnitedHealth Group Announces Changes to Leadership Team,https://www.businesswire.com/news/home/20250731549688/en/,Neutral
2025-07-31 15:56:00,"UnitedHealth Group Incorporated (UNH): ""I am Just In Shock,"" Says Jim Cramer",https://finviz.com/news/123516/unitedhealth-group-incorporated-unh-i-am-just-in-shock-says-jim-cramer,Neutral
2025-07-31 14:19:00,CVS Health Earnings Smash Forecasts. A Value Play Has Become a Rally.,https://finance.yahoo.com/m/1b0a84e8-9c00-3c83-8315-12bfb0bb9a36/cvs-health-earnings-smash.html,Positive
2025-07-31 12:31:00,"Stock Market Today: Indexes Trim Gains, Copper Plunges Again; Meta, Carvana Build Alternate Entries (Live Coverage)",https://finance.yahoo.com/m/f299dfb8-d79a-3b50-8a64-1110b94c69b2/stock-market-today%3A-indexes.html,Neutral
2025-07-31 12:04:00,Cigna Stock Falls on Earnings Even as It Sidesteps the Managed-Care Crisis,https://www.barrons.com/articles/cigna-stock-price-earnings-7c65a90d?mod=bar_FV,Negative
2025-07-31 11:30:00,"Stock Market Today: Dow Dips In Mixed Action; Meta, Carvana Build Alternate Entries But Arm Falls 12% (Live Coverage)",https://finance.yahoo.com/m/f299dfb8-d79a-3b50-8a64-1110b94c69b2/stock-market-today%3A-dow-dips.html,Neutral
2025-07-31 11:04:00,S&P 500 and Nasdaq 100 Set Fresh Record Highs on Strong Tech Earnings,https://finance.yahoo.com/m/4a183fa4-64b4-3ad7-812c-a5fb18ebcf64/s%26p-500-and-nasdaq-100-set.html,Positive
2025-07-31 11:04:00,Morning Rally Fizzles: Stocks Reverse Course After Early Gains.,https://finance.yahoo.com/m/4a183fa4-64b4-3ad7-812c-a5fb18ebcf64/morning-rally-fizzles%3A-stocks.html,Neutral
2025-07-31 10:03:00,CVS Health Stock Surges After Earnings Smash Forecasts. A Value Play Has Become a Rally.,https://finance.yahoo.com/m/1b0a84e8-9c00-3c83-8315-12bfb0bb9a36/cvs-health-stock-surges-after.html,Positive
2025-07-31 09:46:00,"Meta, Microsoft upgraded: Wall Street's top analyst calls",https://finance.yahoo.com/news/meta-microsoft-upgraded-wall-streets-134638236.html,Neutral
2025-07-31 09:09:00,Here's Why Baron Health Care Fund Chose to Exit UnitedHealth Group Incorporated (UNH),https://finviz.com/news/122532/heres-why-baron-health-care-fund-chose-to-exit-unitedhealth-group-incorporated-unh,Neutral
2025-07-31 07:18:00,CVS Health Stock Surges on Earnings Beat and Guidance Raise,https://finance.yahoo.com/m/1b0a84e8-9c00-3c83-8315-12bfb0bb9a36/cvs-health-stock-surges-on.html,Positive
