datetime,headline,url,sentiment
2025-08-12 20:08:00,/C O R R E C T I O N -- Danone North America/,https://finance.yahoo.com/news/oikos-launches-first-kind-cultured-130000635.html,Neutral
2025-08-13 17:31:00,"Walmart To Pay $5.6 Million In Settlement For Overcharging Customers, Violating California Laws",https://finance.yahoo.com/news/walmart-pay-5-6-million-213106864.html,Negative
2025-08-13 17:02:00,Circle Internet Aces Its First Earnings Test. The Stock Rises.,https://finance.yahoo.com/m/e01453dd-7b31-3aac-b306-fce24a0ebd03/circle-internet-aces-its.html,Positive
2025-08-13 16:28:00,"Choosy Consumers Could Blunt Inflationary Effect of Tariffs, Barkin Says",https://finance.yahoo.com/m/423cd12a-ada7-3111-b47d-53e014735911/choosy-consumers-could-blunt.html,Negative
2025-08-13 13:43:00,Target Stock Could Use Two Things for a Turnaround,https://www.barrons.com/articles/target-stock-price-turnaround-2a821fc5?mod=bar_FV,Neutral
2025-08-13 09:59:00,1 Unpopular Stock That Deserves a Second Chance and 2 We Question,https://finviz.com/news/137112/1-unpopular-stock-that-deserves-a-second-chance-and-2-we-question,Negative
2025-08-13 09:00:00,PURE PROTEIN ANNOUNCES MAJOR LICENSING PARTNERSHIPS WITH FRUITY AND COCOA PEBBLES AND FRANK'S REDHOT® TO LAUNCH LINE OF NOSTALGIC FLAVORS AT WALMART,https://finance.yahoo.com/news/pure-protein-announces-major-licensing-130000440.html,Neutral
2025-08-13 07:00:00,"PL Developments Builds a Smarter, Healthier Supply Chain with Kinaxis",https://finance.yahoo.com/news/pl-developments-builds-smarter-healthier-110000825.html,Positive
2025-08-13 06:42:00,SpartanNash names new marketing exec for private brands,https://finance.yahoo.com/m/04aaf77d-a6df-32b3-9053-cd9e2da17f41/spartannash-names-new.html,Neutral
2025-08-13 04:56:00,"United States Automotive Service Market Trends and Company Analysis Report 2025-2033 Featuring Firestone, Jiffy Lube, Meineke, Midas, Monro, Safelite, Walmart, and Pep Boys",https://finance.yahoo.com/news/united-states-automotive-market-trends-085600774.html,Neutral
2025-08-13 04:47:00,Smithfield Foods raises annual profit forecast on strong meat demand,https://finance.yahoo.com/news/smithfield-foods-posts-quarterly-sales-084718150.html,Positive
2025-08-11 19:35:00,Walmart to pay $5.6M overcharging settlement in California,https://finance.yahoo.com/m/b19e4b3f-e7bd-30cb-b37b-ea6477695a29/walmart-to-pay-%245.6m.html,Neutral
2025-08-11 19:00:00,Walmart Stock: A Strong Contender or Just Another Retailer?,https://finviz.com/news/135808/walmart-stock-a-strong-contender-or-just-another-retailer,Positive
2025-08-11 16:35:00,Walmart to pay $5.6 million as part of settlement for overcharging customers,https://finance.yahoo.com/m/2823864e-a1b1-3fad-a9e0-7c14db7198b5/walmart-to-pay-%245.6-million.html,Neutral
2025-08-11 16:01:00,Plug Power Second Quarter 2025 Highlights,https://finance.yahoo.com/news/plug-power-second-quarter-2025-200100505.html,Positive
