datetime,headline,url
Aug-14-25 Today 10:18AM,Agentic AI Takes Center Stage at Cognite's Global Impact 2025 Conference to Showcase Industrial Value,https://finance.yahoo.com/news/agentic-ai-takes-center-stage-141800652.html
2025-08-14 04:30:00,"Lubricants Market worth $204.10 billion by 2030, at a CAGR of 2.8%, says MarketsandMarkets",https://finance.yahoo.com/news/lubricants-market-worth-204-10-083000545.html
2025-08-13 13:48:00,What M&A Drought? NOG Assessing 10 Deals Valued at $8B,https://finance.yahoo.com/news/m-drought-nog-assessing-10-174800633.html
2025-08-13 13:30:00,"[Latest] Global Industrial Lubricant Market Size/Share Worth USD 42.45 Billion by 2034 at a 5.12% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)",https://finance.yahoo.com/news/latest-global-industrial-lubricant-market-173000984.html
2025-08-13 12:34:00,Exxon Hits Major Milestone in Guyana with Early Startup of Fourth Oil Vessel,https://finviz.com/news/139489/exxon-hits-major-milestone-in-guyana-with-early-startup-of-fourth-oil-vessel
2025-08-13 08:52:00,ExxonMobil Eyes $21.7B in Trinidad Deepwater Exploration Push,https://finviz.com/news/139199/exxonmobil-eyes-217b-in-trinidad-deepwater-exploration-push
2025-08-13 08:39:00,Will Chevron's Permian Production Strength Power Future Gains?,https://finviz.com/news/139165/will-chevrons-permian-production-strength-power-future-gains
2025-08-13 07:12:00,3 Stocks to Consider as Tension Builds in Energy Markets,https://finviz.com/news/138740/3-stocks-to-consider-as-tension-builds-in-energy-markets
2025-08-13 06:38:00,"Industrial Rubber Company Evaluation Report 2025 | TSRC, Synthos, and SIBUR Lead with Expansive Production, Diverse Applications, and International Reach",https://finance.yahoo.com/news/industrial-rubber-company-evaluation-report-103800819.html
2025-08-13 05:14:00,ExxonMobil may invest up to $21.7bn in Trinidad and Tobago,https://finance.yahoo.com/m/a8110f01-40cb-31f4-ae98-7f4494b1cf18/exxonmobil-may-invest-up-to.html
2025-08-12 17:33:00,ExxonMobil signs deal to explore for oil and gas near Trinidad despite criticism,https://finance.yahoo.com/news/exxonmobil-signs-deal-explore-oil-213310948.html
2025-08-12 16:11:00,Plug Power CEO Says His Company is Square With Trump administration,https://www.barrons.com/articles/plug-hydrogen-trump-autos-3c4e5d1d?mod=bar_FV
2025-08-12 15:06:00,"Trinidad awards deepwater blocks to Exxon, could see $21.7 billion investment, minister says",https://finance.yahoo.com/news/exxon-could-invest-much-21-190604537.html
2025-08-12 15:00:00,Big Oil Boosts Exploration as Energy Transition Sputters,https://finance.yahoo.com/news/big-oil-boosts-exploration-energy-190000615.html
