date,symbol,OSa,OBa,Indicator,Reversal_Score,Bullish_Signal_Count,Bearish_Signal_Count
2025-08-13,AAPL,-0.0,6.0,6.0,0,1,1
2025-08-13,ABBV,-0.0,4.0,4.0,0,0,0
2025-08-13,ABT,-1.0,0.0,-1.0,0,1,1
2025-08-13,AMD,-0.0,3.0,3.0,0,2,2
2025-08-13,AMZN,-0.0,0.0,0.0,0,0,0
2025-08-13,ASML,-0.0,4.0,4.0,0,1,1
2025-08-13,AVGO,-0.0,5.0,5.0,0,1,1
2025-08-13,AXP,-0.0,3.0,3.0,2,3,1
2025-08-13,AZN,-0.0,3.0,3.0,1,2,1
2025-08-13,BABA,-0.0,2.0,2.0,-1,1,2
2025-08-13,BAC,-0.0,3.0,3.0,0,1,1
2025-08-13,BRK-B,-0.0,1.0,1.0,1,3,2
2025-08-13,BX,-0.0,1.0,1.0,1,3,2
2025-08-13,COST,-0.0,5.0,5.0,-1,0,1
2025-08-13,CRM,-5.0,0.0,-5.0,0,1,1
2025-08-13,CSCO,-0.0,5.0,5.0,0,2,2
2025-08-13,CVX,-0.0,0.0,0.0,2,3,1
2025-08-13,DIS,-4.0,0.0,-4.0,1,2,1
2025-08-13,GE,-0.0,4.0,4.0,-1,1,2
2025-08-13,GOOG,-0.0,4.0,4.0,2,3,1
2025-08-13,GS,-0.0,2.0,2.0,1,3,2
2025-08-13,HD,-0.0,5.0,5.0,0,0,0
2025-08-13,HSBC,-0.0,4.0,4.0,-1,0,1
2025-08-13,IBM,-4.0,0.0,-4.0,0,1,1
2025-08-13,INTU,-6.0,0.0,-6.0,1,2,1
2025-08-13,JNJ,-0.0,4.0,4.0,0,1,1
2025-08-13,JPM,-0.0,1.0,1.0,2,3,1
2025-08-13,KO,-0.0,4.0,4.0,2,3,1
2025-08-13,LIN,-0.0,3.0,3.0,0,2,2
2025-08-13,LLY,-4.0,0.0,-4.0,0,2,2
2025-08-13,MA,-0.0,4.0,4.0,0,1,1
2025-08-13,MCD,-0.0,0.0,0.0,0,1,1
2025-08-13,META,-0.0,0.0,0.0,1,3,2
2025-08-13,MRK,-0.0,0.0,0.0,0,1,1
2025-08-13,MS,-0.0,6.0,6.0,0,1,1
2025-08-13,MSFT,-0.0,0.0,0.0,0,0,0
2025-08-13,NFLX,-0.0,4.0,4.0,0,0,0
2025-08-13,NVDA,-0.0,4.0,4.0,0,0,0
2025-08-13,NVS,-0.0,4.0,4.0,0,1,1
2025-08-13,NVO,-0.0,4.0,4.0,0,2,2
2025-08-13,ORCL,-0.0,0.0,0.0,2,3,1
2025-08-13,PFE,-0.0,3.0,3.0,1,2,1
2025-08-13,PG,-0.0,4.0,4.0,0,1,1
2025-08-13,PLTR,-0.0,4.0,4.0,0,0,0
2025-08-13,PM,-0.0,4.0,4.0,0,1,1
2025-08-13,RTX,-0.0,0.0,0.0,-2,0,2
2025-08-13,SAP,-1.0,0.0,-1.0,0,2,2
2025-08-13,SHEL,-4.0,0.0,-4.0,0,0,0
2025-08-13,T,-0.0,5.0,5.0,-1,2,3
2025-08-13,TM,-0.0,4.0,4.0,0,1,1
2025-08-13,TMUS,-0.0,4.0,4.0,-2,1,3
2025-08-13,TSLA,-0.0,5.0,5.0,-2,1,3
2025-08-13,TSM,-0.0,3.0,3.0,0,1,1
2025-08-13,UNH,-0.0,4.0,4.0,-1,1,2
2025-08-13,V,-0.0,0.0,0.0,1,3,2
2025-08-13,WFC,-0.0,3.0,3.0,0,1,1
2025-08-13,WMT,-0.0,4.0,4.0,0,1,1
2025-08-13,XOM,-4.0,0.0,-4.0,2,3,1
2025-08-13,GLD,-1.0,0.0,-1.0,2,2,0
2025-08-13,IBIT,-0.0,5.0,5.0,0,0,0
2025-08-13,COIN,-0.0,1.0,1.0,-1,1,2
2025-08-13,TLT,-0.0,0.0,0.0,0,1,1
2025-08-13,HYG,-0.0,2.0,2.0,0,2,2
2025-08-13,FXY,-0.0,0.0,0.0,0,3,3
2025-08-13,SPY,-0.0,6.0,6.0,0,0,0
2025-08-13,QQQ,-0.0,6.0,6.0,-2,1,3
2025-08-13,IWM,-0.0,2.0,2.0,1,2,1
